File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,target
0,0,0,1,0,0,0,1,21,1,0,0,1,0,3,0,0,1,3,2,0,0.0,0,2,0,2,False
1,0,1,1,0,0,7,1,27,1,0,0,0,0,0,16,0,0,20,0,0,0.0,0,2,0,0,False
2,0,1,1,0,0,12,1,37,1,0,0,0,0,1,13,2,1,16,1,0,0.0,0,2,0,1,False
3,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,2,1,False
4,0,0,1,0,0,0,1,21,1,4,2,3,0,1,7,2,2,1,1,0,0.5,0,1,2,0,False
5,1,0,1,0,10,3,1,62,1,0,0,10,0,1,0,3,2,0,1,0,0.75,0,3,2,1,False
6,0,0,1,0,0,2,1,97,1,3,3,28,0,1,1,12,2,0,1,0,0.4,0,3,3,2,False
7,0,0,1,0,0,0,1,21,1,0,1,2,0,1,0,1,2,1,1,0,1.0,0,2,1,1,False
8,1,0,1,0,0,2,1,72,2,0,4,15,0,3,0,11,1,0,1,0,0.428571428571429,0,2,3,1,False
9,0,0,1,0,0,1,1,71,2,0,7,33,0,2,0,13,2,0,1,0,0.571428571428571,0,3,3,1,False
10,0,3,1,0,0,3,1,31,1,0,0,0,0,0,1,3,0,1,0,0,1.0,0,2,1,2,False
11,0,0,1,0,0,0,2,21,1,0,2,4,0,2,0,4,1,1,2,0,0.0,0,2,0,1,False
12,0,0,1,0,0,0,1,21,1,1,1,2,0,1,6,2,2,2,1,0,1.0,0,2,1,1,False
13,1,0,1,0,29,1,1,166,26,0,0,78,0,1,0,4,2,0,1,0,0.545454545454545,0,3,5,2,False
14,0,0,1,0,1,5,1,254,1,0,2,44,0,4,0,7,1,0,1,0,0.75,0,1,2,1,False
15,0,0,1,0,0,0,1,21,1,0,2,9,0,2,0,5,1,0,1,0,0.333333333333333,0,1,3,2,False
16,0,0,1,0,0,0,1,25,1,0,0,2,0,2,0,2,1,0,1,0,0.0,0,1,0,1,False
17,0,0,1,1,1,0,1,21,1,0,0,2,0,3,0,0,1,0,0,0,0.0,0,1,0,0,False
18,1,0,1,0,16,0,1,52,14,16,0,28,0,1,0,4,2,0,1,0,0.666666666666667,0,2,2,3,False
19,0,1,1,0,0,5,1,27,1,0,0,0,0,1,0,1,2,0,1,0,1.0,0,3,1,0,False
20,0,0,1,0,0,0,2,21,1,1,0,1,0,1,6,0,2,1,2,0,1.0,0,1,1,0,False
21,1,0,1,0,12,1,1,60,13,0,0,36,0,1,0,4,2,0,0,0,0.666666666666667,0,2,2,2,False
22,0,1,1,0,0,0,1,21,1,0,0,0,0,0,3,1,0,1,1,0,0.0,0,2,0,0,False
23,0,0,1,0,0,2,1,75,1,4,3,20,0,2,353,13,2,0,0,0,0.384615384615385,0,2,5,3,True
24,0,0,1,0,0,1,1,78,1,2,1,24,0,1,1,3,2,0,1,0,0.6,0,2,3,1,True
25,0,0,1,0,0,0,2,25,1,0,2,8,0,1,0,0,3,0,1,0,0.0,0,1,0,2,False
26,0,0,1,0,0,0,1,21,1,0,1,2,0,1,0,1,2,1,1,0,0.0,0,2,0,1,False
27,0,0,1,0,0,0,1,21,1,0,0,1,0,1,0,2,2,0,1,0,0.0,0,3,0,0,False
28,0,0,1,0,0,0,1,21,1,0,1,2,0,4,0,0,1,1,1,0,0.0,0,2,0,1,False
29,0,0,1,1,0,0,4,24,1,0,2,4,0,1,0,3,2,1,1,0,0.5,0,2,2,1,True
30,0,0,1,6,1,2,1,56,1,0,1,11,0,1,0,4,1,1,1,0,1.0,0,2,1,2,False
31,0,2,1,0,0,0,1,21,1,0,0,0,0,0,3,1,0,1,0,0,0.0,0,2,0,2,False
32,0,1,1,0,0,0,1,21,1,0,0,0,0,0,3,1,0,1,1,0,0.0,0,3,0,0,False
33,0,0,1,0,0,0,1,21,1,0,2,2,0,1,0,1,2,1,1,0,0.0,0,2,0,1,False
34,0,0,1,0,0,0,1,21,1,0,0,1,0,1,0,2,2,0,1,0,0.0,0,3,0,0,False
35,0,0,1,0,1,1,2,107,6,6,15,45,0,1,0,9,4,1,1,0,0.5,0,3,2,0,False
36,0,0,1,0,0,0,1,21,1,1,1,4,0,1,0,3,2,1,1,0,1.0,0,2,1,2,False
37,0,0,1,0,5,1,1,77,1,3,5,27,0,1,0,11,2,0,1,0,1.0,0,3,1,2,False
38,0,25,1,0,0,4,1,134,1,0,0,0,0,1,1,11,2,0,0,0,0.307692307692308,0,2,5,3,True
39,0,1,1,0,0,5,1,27,1,0,0,0,0,0,8,1,0,1,0,0,0.0,0,2,0,1,False
40,0,0,1,0,0,0,1,21,1,0,0,4,0,2,3,0,1,0,1,0,0.0,0,1,0,3,False
41,0,0,1,1,1,0,1,24,1,1,1,3,0,3,8,1,1,1,1,0,0.0,0,1,0,3,False
42,0,0,1,0,0,0,1,24,1,0,0,2,0,3,0,2,2,1,2,0,1.0,0,2,1,0,False
43,0,3,1,0,0,5,1,39,1,0,0,0,0,1,3,2,2,1,0,0,0.666666666666667,0,2,2,1,False
44,0,0,1,0,0,1,1,25,1,0,1,2,0,4,0,1,1,1,1,0,0.0,0,1,0,2,False
45,0,1,1,0,0,0,1,22,1,0,0,0,0,0,1,3,0,1,1,0,0.0,0,2,0,0,False
46,0,0,1,1,0,0,1,31,1,3,1,5,0,3,0,8,1,0,1,0,1.0,0,1,1,3,False
47,1,0,1,0,0,0,1,25,1,2,4,13,0,5,0,6,1,1,1,0,1.0,0,1,1,2,False
48,0,0,1,0,0,0,1,21,1,0,0,5,0,2,0,4,1,0,2,0,1.0,0,2,1,2,False
49,0,3,1,0,0,0,1,21,1,0,0,0,0,0,2,2,0,1,1,0,0.0,0,3,0,0,False
50,0,0,3,1,1,2,4,59,1,9,7,7,0,1,0,26,1,2,1,0,0.4,0,4,4,0,True
51,0,0,1,0,0,0,2,25,1,0,3,10,0,1,0,5,2,0,1,0,0.0,0,2,0,2,False
52,0,0,1,2,0,1,2,41,1,3,3,11,0,2,0,12,2,0,1,0,0.5,0,4,4,1,True
53,0,0,1,0,0,0,2,22,1,0,2,2,0,1,0,8,2,4,3,0,0.5,0,2,3,1,False
54,0,0,1,0,0,0,1,21,1,0,3,7,0,1,0,5,2,1,1,0,1.0,0,2,1,0,False
55,0,0,1,0,0,0,3,22,1,1,0,1,0,1,2,5,2,3,5,1,1.0,0,2,1,1,False
56,0,0,1,0,0,1,1,36,1,0,1,4,0,1,0,4,2,1,1,0,1.0,0,2,1,1,False
57,0,0,1,0,0,0,1,21,1,0,3,9,0,1,0,0,2,0,1,0,0.0,0,1,0,1,False
58,0,0,1,0,0,0,1,22,3,2,6,20,0,1,0,5,2,0,1,0,0.416666666666667,0,1,4,3,True
59,0,5,1,0,0,0,1,21,1,0,0,0,0,0,1,0,0,0,1,0,1.0,0,2,1,2,False
60,0,0,1,0,0,0,1,21,1,0,1,2,0,3,0,0,1,1,1,0,0.0,0,2,0,2,False
61,0,0,1,0,0,0,1,21,1,0,4,6,0,1,0,1,1,1,1,0,0.0,0,2,0,2,False
62,0,1,1,0,0,0,1,21,1,0,0,0,0,0,1,1,0,1,1,0,0.0,0,1,0,2,False
63,1,0,1,0,4,4,1,44,1,0,0,4,0,1,0,3,1,0,1,0,0.75,0,3,2,0,False
64,0,0,1,0,0,0,1,23,1,3,7,12,0,1,1,9,2,1,1,0,1.0,0,1,1,1,False
65,0,0,1,0,0,0,4,21,1,0,0,1,0,2,0,6,1,1,7,3,0.0,0,3,0,0,False
66,0,4,1,0,0,3,1,35,1,0,1,0,0,0,1,2,0,1,0,0,1.0,0,1,1,2,False
67,0,0,1,0,0,0,1,21,1,1,0,0,0,3,0,4,1,3,4,0,1.0,0,2,1,1,False
68,0,0,1,1,0,0,2,24,2,3,2,2,0,3,0,6,2,0,2,0,0.5,0,3,2,0,True
69,0,0,1,1,1,0,1,39,1,4,6,18,0,3,0,11,2,0,0,0,0.666666666666667,0,2,2,1,False
70,0,0,1,0,0,0,1,35,1,3,4,12,0,1,2,5,2,0,0,0,0.0,0,1,0,2,False
71,0,0,1,0,0,0,1,29,1,1,2,6,0,2,0,1,1,0,1,0,0.0,0,1,0,1,False
72,0,0,1,0,0,0,1,22,1,1,0,0,0,3,0,2,2,2,3,0,1.0,0,3,1,0,False
73,0,0,1,1,0,0,1,22,2,0,2,10,0,2,0,6,2,0,1,0,0.8,0,2,2,2,True
74,0,0,2,1,0,0,3,22,1,0,1,3,0,3,0,5,2,2,3,0,0.666666666666667,0,2,2,1,False
75,0,0,1,2,0,0,1,29,1,1,0,2,0,3,0,3,1,0,1,0,0.846153846153846,0,5,2,0,True
76,0,0,2,1,0,1,3,54,3,7,10,13,0,4,0,7,2,0,0,0,0.911764705882353,1,6,2,0,False
77,0,0,1,2,0,1,1,79,1,5,13,37,0,3,0,14,1,0,1,0,0.68,2,3,3,4,False
78,0,0,1,0,0,0,1,21,1,0,1,5,0,2,0,3,1,0,1,0,0.666666666666667,0,3,2,2,False
79,0,0,1,0,0,0,1,21,1,1,1,7,0,3,0,1,1,0,1,0,0.0,0,4,0,1,False
80,0,2,1,0,0,9,1,39,1,0,0,0,0,0,1,2,0,1,0,0,1.0,0,3,1,1,False
81,1,0,2,1,0,0,3,22,1,1,1,4,1,3,0,9,1,1,2,0,0.7,0,5,3,0,True
82,0,0,1,1,0,1,1,31,1,1,2,7,0,1,0,0,2,0,1,0,1.0,0,2,1,2,False
83,0,0,1,1,0,0,2,22,1,0,0,3,0,2,0,2,1,0,1,0,1.0,0,2,1,2,True
84,1,0,3,0,1,2,3,24,1,0,0,1,1,1,0,4,1,0,1,0,1.0,0,4,1,0,False
85,0,0,1,2,0,0,2,21,1,3,2,6,0,1,3,5,2,0,1,0,0.666666666666667,0,1,3,3,True
86,0,1,1,0,0,6,1,27,1,0,0,0,0,0,1,0,0,2,1,0,1.0,0,3,1,0,False
87,0,0,1,0,0,0,1,21,1,0,0,2,0,2,0,0,1,0,2,0,1.0,0,2,1,1,False
88,0,0,1,1,0,0,1,24,1,0,1,7,0,2,0,4,1,0,1,0,1.0,0,2,1,2,True
89,0,0,1,0,0,0,1,22,1,1,1,4,0,3,0,3,1,0,1,0,1.0,0,3,1,2,False
90,0,0,1,0,0,0,2,21,1,0,1,2,0,3,0,2,2,3,3,0,0.0,0,2,0,2,False
91,0,0,1,1,0,0,1,22,1,1,9,19,0,2,0,7,1,0,1,0,0.833333333333333,0,4,2,1,False
92,0,0,1,0,0,0,1,21,1,0,0,1,0,2,0,3,1,6,4,0,1.0,0,4,1,1,False
93,0,0,1,0,0,0,1,21,1,0,1,6,0,3,0,1,1,0,1,0,1.0,0,2,1,2,False
94,0,0,1,0,0,0,1,21,1,1,0,0,0,3,0,2,1,1,2,0,1.0,0,3,1,0,False
95,0,0,1,0,0,0,1,26,2,2,3,12,0,2,1,8,2,0,1,0,0.666666666666667,0,2,2,0,False
96,0,0,1,0,0,1,2,25,1,2,0,0,1,3,0,8,1,3,4,0,0.5,0,3,3,1,False
97,0,0,1,0,0,0,2,25,1,2,8,17,0,1,0,3,2,1,1,0,0.666666666666667,0,1,3,0,True
98,0,0,1,0,0,2,1,47,2,3,1,8,0,2,2,9,2,0,1,0,0.5,0,2,2,1,False
99,0,0,1,0,0,0,2,21,1,1,0,0,0,3,0,4,1,4,4,1,1.0,0,2,1,2,False
100,1,0,1,1,6,2,2,173,9,7,18,58,0,2,2,12,2,0,0,0,0.384615384615385,0,3,5,3,True
101,0,0,1,0,0,0,1,21,1,1,0,0,0,3,0,3,1,2,6,0,0.5,0,3,2,0,False
102,0,0,1,0,0,0,1,21,1,0,1,3,0,3,0,3,2,2,2,0,0.0,0,1,0,1,False
103,0,0,1,0,0,0,1,20,1,2,1,4,0,3,0,2,1,0,0,0,1.0,0,2,1,1,False
104,0,0,1,1,0,0,1,23,1,0,0,1,0,4,0,0,1,1,2,0,1.0,0,3,1,1,False
105,0,0,1,0,0,0,1,22,1,1,0,1,0,3,2,3,1,2,2,0,1.0,0,2,1,2,False
106,0,0,1,1,0,0,2,21,2,2,3,4,0,2,0,6,3,0,0,0,0.5,0,2,3,2,True
107,0,0,1,0,0,0,1,23,1,0,1,8,0,2,0,8,2,0,1,0,0.333333333333333,0,2,3,1,False
108,0,0,1,0,0,0,2,22,1,2,1,1,0,3,0,2,1,1,3,0,1.0,0,3,1,0,False
109,0,0,1,1,0,0,2,21,2,4,2,2,0,3,0,4,2,0,1,0,0.8,0,3,2,1,False
110,0,0,1,0,0,0,1,21,1,0,7,20,0,2,0,6,1,0,1,0,1.0,0,2,1,1,False
111,0,0,1,2,0,0,2,24,1,4,0,0,0,4,0,2,1,1,2,0,0.0,0,3,0,0,False
112,0,0,0,0,0,0,0,21,1,0,0,0,0,1,4,0,2,0,0,0,1.0,0,1,1,1,False
113,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,2,0,False
114,0,0,1,0,0,0,1,22,3,0,0,4,0,1,0,4,2,0,1,0,1.0,0,2,1,1,False
115,1,0,1,0,9,1,1,34,1,0,0,9,0,1,0,1,1,0,1,0,1.0,0,3,1,1,False
116,0,1,1,0,0,0,1,23,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,2,2,0,False
117,1,0,1,1,25,0,1,26,1,1,0,24,0,1,0,2,1,0,1,0,0.5,0,3,4,0,True
118,0,0,1,0,0,0,1,22,1,0,1,6,0,2,0,0,1,0,1,0,1.0,0,2,1,1,False
119,1,0,1,0,3,0,2,30,1,2,0,1,0,1,0,1,1,0,1,0,0.0,0,2,0,1,False
120,0,0,1,0,0,0,1,23,1,0,2,17,0,1,0,1,1,1,1,0,0.0,0,1,0,1,False
121,0,0,1,0,0,0,1,21,1,0,0,2,0,1,0,1,1,1,2,0,0.0,0,1,0,0,False
122,0,0,1,0,0,0,1,22,1,0,2,13,0,2,1,0,2,0,1,0,1.0,0,2,1,2,False
123,0,0,1,3,0,2,2,155,1,0,3,48,0,1,0,6,1,1,1,0,1.0,0,2,1,2,False
124,1,0,1,1,11,0,1,25,1,0,0,11,0,1,0,2,1,0,1,0,0.666666666666667,0,3,2,2,True
125,1,0,2,0,14,2,2,62,1,0,0,14,0,1,0,2,1,0,1,0,1.0,0,3,1,2,False
126,0,0,0,0,0,0,0,23,1,0,0,0,0,0,2,0,0,0,0,0,0.666666666666667,0,2,2,0,True
127,0,0,1,1,0,0,1,21,3,0,1,4,0,3,0,6,2,2,1,0,0.6,0,1,2,1,True
128,0,13,1,0,0,4,1,82,1,0,0,0,0,1,11,7,2,0,0,0,0.444444444444444,0,4,4,2,True
129,0,2,1,0,0,0,1,28,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,3,2,1,False
130,0,26,1,0,0,5,1,167,1,0,0,0,0,1,106,4,1,0,0,0,0.333333333333333,0,3,4,2,True
131,0,0,1,1,1,3,2,46,1,0,8,7,0,1,0,1,1,0,1,0,0.666666666666667,0,3,2,0,False
132,0,0,1,3,6,0,1,49,1,0,3,14,0,1,0,2,1,2,1,0,0.0,0,1,0,1,True
133,0,0,1,0,0,1,1,24,1,0,1,2,0,4,0,1,1,1,1,0,0.0,0,1,0,1,False
134,0,0,1,0,0,0,1,21,1,0,2,3,0,3,0,2,1,1,1,0,0.0,0,2,0,1,False
135,0,1,1,0,0,6,1,33,1,0,0,0,0,1,36,0,2,42,1,0,1.0,0,1,1,2,False
136,0,0,1,0,0,0,1,21,1,0,1,2,0,3,0,1,1,1,1,0,0.0,0,3,0,0,False
137,0,1,1,0,0,0,1,22,1,0,0,0,0,0,0,0,0,6,1,0,0.5,0,2,2,1,False
138,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,2,1,False
139,0,0,1,0,0,0,1,21,1,4,2,3,0,1,0,2,2,1,1,0,0.5,0,2,2,1,False
140,0,0,2,2,0,2,4,37,1,5,2,2,0,1,1,9,2,1,1,0,0.444444444444444,0,3,3,1,True
141,0,0,8,0,0,0,12,23,1,0,0,1,0,1,0,0,2,2,13,0,0.5,0,2,2,2,False
142,1,0,2,0,1,0,3,25,2,0,0,3,0,3,0,3,2,3,2,0,0.5,0,2,2,1,False
143,0,0,1,0,0,0,1,21,1,1,3,2,0,1,0,2,1,3,3,0,1.0,0,2,1,1,False
144,0,0,2,1,0,0,3,40,2,4,7,13,0,1,0,14,3,1,1,0,0.5,0,2,3,1,False
145,0,0,1,0,0,0,3,23,1,0,0,1,0,1,0,2,2,3,6,0,0.5,0,2,2,1,False
146,0,0,1,0,0,0,1,22,1,0,2,3,0,1,0,3,2,1,1,0,0.5,0,2,2,2,False
147,0,0,7,0,0,3,7,25,1,0,0,1,3,1,0,1,2,2,9,0,0.5,0,2,2,2,False
148,0,0,1,0,0,0,1,21,1,0,1,3,0,1,0,1,2,1,1,0,0.5,0,2,2,0,False
149,0,0,3,0,0,0,3,22,1,0,0,1,0,1,0,0,2,2,3,0,0.5,0,1,2,1,False
150,0,1,1,0,0,6,1,27,1,0,0,0,0,0,1,1,0,1,0,0,1.0,0,2,1,1,False
151,0,2,1,0,0,3,1,28,1,0,0,0,0,0,2,2,0,1,0,0,1.0,0,2,1,1,False
152,0,0,1,3,0,1,2,107,1,13,17,48,0,2,1,36,3,1,1,0,0.4,0,3,6,2,True
153,0,0,1,1,0,3,2,102,2,7,4,17,0,2,39,10,2,0,0,0,0.583333333333333,0,3,4,2,True
154,0,0,7,2,0,1,10,25,1,0,0,1,0,1,0,6,2,6,11,0,0.5,0,3,2,0,False
155,0,0,1,0,0,1,1,31,1,3,4,7,0,2,17,7,2,1,1,0,1.0,0,2,1,1,False
156,0,0,1,0,0,0,1,31,1,7,5,20,0,1,21,10,3,0,0,0,0.4,0,2,5,3,True
157,4,0,1,1,3,0,2,38,1,4,9,33,0,1,15,10,2,0,1,0,0.5,0,3,4,2,True
158,0,0,1,0,0,1,1,22,1,0,0,1,0,1,0,1,2,0,1,0,0.0,0,2,0,1,False
159,0,0,1,1,1,0,1,21,1,0,0,2,0,1,0,1,2,1,1,0,1.0,0,2,1,0,False
160,0,0,3,2,0,1,5,24,1,1,0,1,0,1,0,6,2,4,7,2,1.0,0,2,1,2,False
161,0,0,1,0,0,1,1,24,1,0,0,5,0,1,0,4,2,0,0,0,0.5,0,3,3,0,True
162,0,0,1,0,0,1,1,51,1,5,2,15,0,2,13,3,1,0,0,0,0.5,0,2,2,2,True
163,0,0,1,0,0,0,1,21,1,4,0,1,0,3,5,5,2,0,1,0,1.0,0,2,1,0,False
164,0,0,1,0,0,0,1,21,1,2,1,6,0,2,29,2,2,1,0,0,1.0,0,1,1,2,False
165,0,0,1,0,0,0,1,51,4,8,5,42,0,2,1,11,2,1,1,0,0.444444444444444,0,1,4,0,True
166,0,0,1,0,0,0,1,39,1,0,10,21,0,1,0,19,2,1,1,0,0.666666666666667,0,3,2,3,True
167,0,0,1,0,0,0,2,24,1,3,1,2,0,4,0,6,2,0,2,0,1.0,0,1,1,1,False
168,0,0,1,1,0,0,2,49,1,0,4,7,0,1,0,3,2,0,0,0,0.666666666666667,0,3,2,0,False
169,0,0,1,0,0,0,1,21,1,0,1,6,0,1,1,4,2,1,1,0,1.0,0,2,1,1,False
170,0,0,1,0,0,0,1,26,1,1,1,4,0,2,0,4,2,1,1,0,1.0,0,2,1,1,False
171,0,0,1,1,0,0,1,24,1,3,3,8,0,3,0,5,2,0,1,0,0.8,0,3,2,0,False
172,0,0,1,0,0,0,1,21,1,1,0,2,0,1,7,1,3,1,1,0,1.0,0,2,1,1,False
173,0,0,1,0,0,0,1,21,1,1,1,8,0,1,0,1,2,0,1,0,0.0,0,2,0,1,False
174,0,0,1,0,0,0,1,22,1,0,1,3,0,1,0,2,2,2,2,0,1.0,0,1,1,3,False
175,0,0,1,1,0,1,2,43,1,3,3,11,0,1,1,4,2,1,1,0,1.0,0,3,1,1,False
176,0,0,1,0,0,0,1,21,1,0,0,1,0,1,0,1,2,1,1,0,0.0,0,1,0,1,False
177,0,0,1,0,0,0,1,26,1,1,2,5,0,2,6,3,2,1,1,0,1.0,0,2,1,1,False
178,0,0,1,0,0,0,2,21,1,1,0,1,0,1,0,0,2,1,2,0,1.0,0,2,1,1,False
179,0,0,1,0,0,0,1,23,3,5,1,9,0,4,2,7,2,0,1,0,1.0,0,2,1,1,False
180,0,0,1,0,0,0,1,23,1,2,1,4,0,3,0,5,1,0,1,0,0.0,0,1,0,1,False
181,0,0,1,1,2,3,2,55,1,4,1,7,0,2,0,11,2,0,0,0,0.6,0,2,3,3,True
182,1,0,1,2,1,0,1,26,3,1,6,11,0,2,0,3,2,1,1,0,0.5,0,3,2,1,False
183,0,0,1,0,0,0,1,21,1,0,1,3,0,1,0,2,2,0,1,0,0.5,0,3,2,1,False
184,0,0,1,1,0,0,1,34,1,3,6,11,0,3,7,3,2,1,0,0,0.555555555555556,0,2,3,1,False
185,0,0,1,0,0,0,1,22,1,5,1,3,0,2,6,4,2,0,1,0,0.5,0,2,3,1,False
186,0,0,1,0,0,0,1,22,1,0,0,2,0,1,0,2,2,1,3,0,1.0,0,1,1,2,True
187,0,0,1,1,1,1,1,43,1,7,5,6,0,1,31,1,2,1,0,0,0.333333333333333,0,3,3,1,False
188,0,0,1,0,0,0,2,22,1,0,1,3,1,1,0,3,2,1,2,0,0.0,0,2,0,1,False
189,0,2,1,0,0,0,1,21,1,0,0,0,0,0,1,1,0,0,0,0,0.0,0,2,0,0,False
190,0,0,1,1,1,0,1,23,1,1,1,3,0,3,0,0,1,1,1,0,1.0,0,2,1,1,False
191,0,0,1,0,0,1,1,24,1,0,1,3,0,4,0,3,1,1,1,0,0.0,0,1,0,3,False
192,0,0,1,0,0,1,1,24,1,0,1,2,0,4,0,3,1,1,1,0,0.0,0,2,0,1,True
193,0,0,1,0,0,2,1,27,1,0,2,3,0,4,0,2,1,1,1,0,0.0,0,2,0,2,False
194,0,1,1,0,0,0,1,22,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,2,2,0,False
195,0,0,1,0,0,0,2,23,1,1,2,3,0,2,0,6,2,2,1,0,0.5,0,2,2,0,True
196,0,0,1,0,0,0,2,28,1,0,0,2,0,1,0,5,2,1,3,0,0.75,0,1,2,1,False
197,0,0,1,0,0,0,1,21,1,0,3,4,0,4,0,1,1,1,1,0,0.0,0,2,0,1,False
198,0,0,1,0,0,0,1,21,1,0,2,3,0,3,0,2,1,1,1,0,1.0,0,2,1,2,False
199,0,0,1,0,0,0,1,21,1,0,2,3,0,3,0,1,1,1,1,0,1.0,0,1,1,2,False
200,0,2,1,0,0,0,1,21,1,0,0,0,0,0,0,1,0,1,1,0,0.5,0,3,2,0,False
201,0,2,1,0,0,0,1,21,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,3,2,0,False
202,0,2,1,0,0,0,1,21,1,0,0,0,0,0,0,0,0,3,1,0,0.5,0,2,2,0,False
203,0,1,1,0,0,0,1,22,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,2,2,0,False
204,0,0,2,0,1,0,3,35,1,4,0,3,0,1,0,6,2,1,2,0,0.8,0,1,2,4,False
205,0,2,1,0,0,1,1,24,1,0,0,0,0,0,0,1,0,0,1,0,0.5,0,2,2,0,False
