File,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0,0,1,0,4,4,0.3,1,100,3,0,14,2,6.53333333333333,0,9.4,1,1,1.61904761904762,0,522,1.0,0,1,0,True
1,0,1,0,1,0,0.44,0,50,2,0,2,1,2.85714285714286,1,3.42857142857143,1,1,1.22222222222222,0,118,1.0,0,1,0,False
2,0,1,2,3,6,0.34,0,83,3,0,12,2,5.22222222222222,0,5.83333333333333,1,1,1.08695652173913,0,458,1.0,0,1,0,False
3,3,2,0,2,5,0.17,0,90,2,1,15,2,6.71428571428571,0,7.32142857142857,1,1,1.33333333333333,0,766,0.8,0,1,2,False
4,2,1,0,1,0,1.0,0,60,2,0,6,1,2.0,0,1.4,0,1,1.125,0,84,1.0,0,1,0,False
5,3,1,3,1,0,0.21,0,92,2,0,42,3,3.43421052631579,0,4.10526315789474,0,1,0.835443037974684,0,1151,0.714285714285714,0,2,1,True
6,0,1,0,10,0,4.0,0,100,2,1,2,1,3.25,1,0.25,0,1,0.0,0,89,0.666666666666667,0,2,0,False
7,8,1,15,6,0,0.43,1,81,3,0,27,1,6.06666666666667,3,8.53333333333333,2,1,1.72222222222222,0,514,1.0,0,1,0,False
8,1,2,0,0,0,0.17,0,91,2,2,2,1,3.13333333333333,0,2.2,1,0,1.55555555555556,0,199,1.0,0,1,0,False
9,0,2,1,2,0,0.29,0,89,1,0,9,1,5.55555555555556,3,4.33333333333333,1,1,1.89655172413793,0,482,1.0,0,1,0,False
10,0,2,0,4,0,0.51,0,48,3,1,3,1,6.875,1,3.6875,1,1,1.0,0,295,1.0,0,1,0,False
11,0,1,0,3,0,0.74,0,55,4,0,2,1,2.5,0,2.9,1,1,0.333333333333333,0,138,1.0,0,1,0,False
12,0,1,0,1,0,0.31,0,46,2,0,5,1,5.75,3,6.0,4,1,1.9,0,164,1.0,0,1,0,False
13,0,1,0,0,0,1.43,0,100,3,0,0,1,3.0,0,2.33333333333333,2,1,0.666666666666667,0,39,1.0,0,1,0,False
14,0,1,1,0,0,0.81,0,50,2,0,3,1,2.5,1,2.0,1,1,0.75,0,59,1.0,0,1,0,False
15,0,2,1,5,0,0.31,0,41,1,0,4,2,4.75,2,5.5,1,1,1.90909090909091,0,280,1.0,0,1,0,False
16,3,1,8,0,0,0.15,0,95,2,0,2,2,2.29166666666667,0,3.04166666666667,1,0,0.5625,0,280,1.0,0,1,0,False
17,1,1,0,0,0,0.28,0,40,1,0,2,2,3.8,1,2.9,1,1,0.615384615384615,0,114,1.0,0,1,0,False
18,0,1,0,4,0,3.22,0,0,2,1,0,1,0.5,0,1.0,1,1,0.0,0,43,1.0,0,1,0,False
19,5,1,0,0,0,0.18,0,73,2,0,0,1,2.52631578947368,1,2.26315789473684,1,1,0.238095238095238,0,156,1.0,0,1,0,False
20,5,1,1,0,1,0.23,0,80,2,0,7,2,4.47619047619048,0,5.14285714285714,1,1,1.0,0,330,0.5,0,1,0,True
21,0,3,0,0,0,0.71,0,0,1,0,1,2,1.5,0,2.5,1,1,2.25,0,47,1.0,0,1,0,False
22,0,1,0,0,0,0.31,0,58,2,0,9,2,1.5,0,4.75,2,1,1.83333333333333,0,108,1.0,0,1,0,False
23,0,1,5,3,0,0.41,0,40,1,0,3,2,4.0,1,4.5,2,1,0.461538461538462,0,183,1.0,0,1,0,False
24,0,2,0,0,0,0.16,0,68,2,0,6,1,5.66666666666667,2,5.66666666666667,1,1,1.64285714285714,0,212,1.0,0,1,0,False
25,0,1,1,1,0,1.31,0,0,1,0,3,1,6.0,6,4.0,4,1,0.0,0,41,1.0,0,1,0,False
26,0,1,2,1,0,0.19,0,50,1,0,10,2,4.71428571428571,1,10.5714285714286,1,1,0.538461538461538,0,177,0.5,0,1,1,False
27,0,1,2,1,0,0.13,1,69,1,0,26,2,4.27631578947368,0,4.93421052631579,1,1,0.168067226890756,0,1215,0.75,0,2,0,True
28,0,1,2,1,0,0.12,3,55,1,0,12,2,4.66666666666667,1,7.55555555555556,1,1,0.5,0,325,0.5,0,2,0,False
29,0,1,2,1,0,0.23,1,55,1,0,8,2,2.6,1,3.8,1,1,0.0,0,161,0.5,0,2,0,False
30,0,1,2,0,0,0.2,0,25,2,1,12,2,1.11111111111111,0,5.33333333333333,1,1,0.214285714285714,0,149,0.5,0,1,1,False
31,0,3,3,3,0,0.23,3,54,1,0,8,2,3.33333333333333,1,7.0,1,1,1.33333333333333,0,259,0.5,0,1,1,False
32,0,1,2,1,2,0.72,0,100,2,0,6,1,4.5,2,8.25,6,2,1.875,1,0,0.0,0,1,1,False
33,0,1,2,7,0,0.89,2,0,2,0,3,1,4.66666666666667,3,7.66666666666667,6,1,0.833333333333333,0,0,0.0,0,2,0,False
34,0,4,0,7,0,0.22,10,0,0,0,0,0,8.33333333333333,6,16.6666666666667,3,2,2.25,1,0,0.0,0,2,0,False
35,1,2,1,2,0,0.26,5,75,1,0,9,1,3.5,1,9.5,1,1,1.81818181818182,0,0,0.0,0,1,1,False
36,0,0,0,0,0,0.42,0,0,0,0,0,0,0.0,0,0.0,0,2,1.66666666666667,1,0,0.0,0,2,0,False
37,0,1,1,2,0,0.39,11,0,1,0,8,1,0.0,0,22.0,22,4,2.0,1,0,0.0,0,1,0,False
38,0,0,0,0,0,0.96,0,0,0,0,0,0,0.0,0,0.0,0,2,1.0,1,0,0.0,0,1,0,False
39,0,1,0,4,0,9.0,0,0,0,26,0,0,25.5,1,0.5,0,1,1.6,0,0,1.0,0,2,0,False
40,2,1,4,0,4,0.23,0,82,1,0,13,2,5.02941176470588,1,4.79411764705882,1,1,1.05263157894737,0,0,1.0,0,2,2,False
41,0,1,15,0,0,0.12,0,0,1,0,16,1,9.93333333333333,4,9.0,4,1,1.82352941176471,0,0,1.0,0,2,0,False
42,5,2,0,7,0,0.95,0,86,1,0,15,2,5.43333333333333,0,3.86666666666667,0,1,0.885714285714286,0,41,0.636363636363636,0,2,2,True
43,5,1,19,5,0,0.8,0,57,1,0,13,1,5.15789473684211,3,4.36842105263158,1,1,0.380952380952381,0,3,1.0,0,2,0,False
44,8,2,13,4,0,0.65,0,69,1,0,14,2,5.0,2,5.06666666666667,2,1,0.611111111111111,0,0,1.0,0,1,0,False
45,15,1,33,5,0,0.71,0,98,2,7,19,2,5.02222222222222,1,3.91111111111111,0,1,0.642857142857143,0,89,0.75,0,1,3,False
46,0,1,2,7,0,1.16,0,0,1,0,4,1,9.5,8,4.0,2,2,1.0,1,74,1.0,0,1,0,False
47,0,2,0,4,3,1.06,0,61,2,6,2,1,3.0,1,2.83333333333333,0,1,1.5,0,13,0.5,0,2,1,False
48,0,2,0,4,0,0.97,1,33,1,1,3,2,1.0,0,1.75,0,1,1.75,0,0,0.5,0,1,0,False
49,0,1,0,0,0,0.52,0,63,1,0,2,3,1.83333333333333,0,1.83333333333333,0,1,0.0,0,0,1.0,0,3,0,False
50,0,1,0,3,0,0.57,0,71,4,0,3,1,4.71428571428571,0,6.28571428571429,1,1,1.0,0,3,0.666666666666667,0,1,1,False
51,0,1,0,5,0,5.0,0,0,0,1,0,0,0.0,0,0.666666666666667,0,1,0.0,0,0,0.5,0,1,1,False
52,0,2,0,6,5,0.47,0,80,2,0,17,1,5.07692307692308,1,6.76923076923077,1,1,1.73333333333333,0,24,0.5,0,1,1,True
53,0,1,1,7,0,2.8,0,0,1,0,1,1,8.0,8,1.0,1,2,1.0,1,0,1.0,0,1,0,False
54,1,1,0,3,0,0.51,0,58,1,0,18,2,6.27272727272727,2,4.51515151515152,1,1,0.3,0,4,0.6,0,2,0,True
55,0,2,2,7,0,1.46,0,100,1,19,1,2,3.0,1,3.0,0,1,0.588235294117647,0,0,1.0,0,1,0,False
56,0,1,0,0,0,0.57,0,54,3,0,3,2,3.375,1,3.875,1,1,0.7,0,8,0.666666666666667,0,3,0,False
57,0,1,0,0,0,1.0,0,33,1,0,2,2,2.16666666666667,0,2.16666666666667,1,1,0.0,0,0,1.0,0,1,2,True
58,0,1,0,0,0,0.56,0,0,1,0,2,2,1.27272727272727,0,1.36363636363636,0,1,0.384615384615385,0,0,1.0,0,1,1,False
59,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,False
60,0,1,0,5,0,0.92,0,86,4,0,5,3,18.6,1,5.6,1,1,0.764705882352941,0,135,0.666666666666667,0,3,2,False
61,0,1,0,4,0,0.72,0,79,3,0,4,4,17.5,1,3.67857142857143,1,1,0.8,0,8,0.666666666666667,0,3,3,False
62,0,1,1,7,0,0.8,0,90,1,0,30,3,8.34090909090909,0,4.59090909090909,1,1,0.857142857142857,0,285,0.444444444444444,0,3,9,True
63,1,1,0,7,0,2.97,0,0,2,1,11,2,2.84375,0,0.75,0,1,0.0,0,46,0.5,0,5,2,True
64,11,2,11,3,3,0.31,0,93,1,12,46,3,4.74117647058824,0,5.17647058823529,1,1,1.0188679245283,0,734,0.36,1,4,8,True
65,2,1,8,4,0,0.68,0,89,1,2,32,2,13.6344086021505,0,3.56989247311828,1,1,0.338842975206612,0,614,0.428571428571429,1,5,5,True
66,0,1,0,0,0,1.41,0,0,1,0,2,2,2.0,1,1.5,1,1,0.75,0,0,1.0,0,2,1,False
67,28,1,0,11,0,7.44,0,0,2,3,13,2,2.25806451612903,0,0.67741935483871,0,1,0.0,0,4,0.428571428571429,0,3,4,True
68,2,1,0,5,0,5.0,0,0,0,1,1,0,1.5,1,0.5,0,1,0.0,0,0,1.0,0,2,1,False
69,2,1,0,3,1,0.77,0,80,2,0,12,2,4.12765957446809,0,2.19148936170213,1,1,0.236363636363636,0,4,0.75,0,2,5,False
70,0,1,4,10,0,1.1,1,50,1,0,5,1,4.0,3,5.25,3,2,1.83333333333333,1,0,1.0,0,1,0,False
71,0,1,0,4,0,0.63,0,75,1,0,3,2,3.25,0,3.45,1,1,0.954545454545455,0,1,0.5,0,1,3,False
72,1,1,2,0,0,1.56,0,100,1,0,0,1,1.0,0,1.57142857142857,1,0,0.0,0,0,0.5,0,1,0,False
73,0,2,8,7,0,0.63,0,87,1,9,14,2,6.08333333333333,1,5.0,1,1,1.16666666666667,0,25,0.666666666666667,0,4,3,False
74,0,1,0,1,0,0.74,0,87,1,0,0,2,3.75,2,5.75,1,1,1.71428571428571,0,0,1.0,0,1,0,False
75,0,1,0,2,0,0.57,0,14,1,0,3,2,2.0,1,3.71428571428571,1,1,1.1,0,0,1.0,0,2,1,False
76,0,1,0,4,0,0.43,0,66,2,0,5,2,1.77777777777778,0,5.88888888888889,1,1,1.63636363636364,0,0,1.0,0,2,0,False
77,0,1,0,0,0,0.65,0,60,1,0,2,2,1.8,0,2.8,1,1,0.571428571428571,0,0,0.0,0,1,1,False
78,0,1,0,2,0,0.38,0,28,1,0,3,2,2.71428571428571,1,5.14285714285714,1,1,2.44444444444444,0,0,1.0,0,2,1,False
79,0,1,0,4,0,0.81,0,82,3,3,4,2,11.9375,1,2.8125,1,1,0.666666666666667,0,1,0.333333333333333,0,2,2,False
80,0,1,0,2,0,2.45,0,100,3,0,0,1,1.0,0,2.0,2,1,0.0,0,0,1.0,0,1,1,False
81,0,1,0,6,0,2.3,0,57,1,2,0,1,2.42857142857143,0,2.14285714285714,1,1,0.333333333333333,0,0,1.0,0,1,0,False
82,0,1,0,0,3,0.27,0,0,2,3,2,2,10.3333333333333,5,4.66666666666667,2,2,1.75,1,1,0.666666666666667,0,1,0,False
83,0,0,0,0,0,164.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,2,1,False
84,0,1,0,6,0,0.8,0,92,4,0,6,4,32.9,2,5.45,1,1,0.954545454545455,0,168,0.333333333333333,0,2,3,False
85,0,1,0,1,0,2.0,0,100,3,0,0,1,1.5,0,2.0,2,1,0.0,0,0,1.0,0,3,1,False
86,1,1,0,4,0,1.35,0,45,1,0,5,2,3.75,1,2.16666666666667,1,1,0.533333333333333,0,6,0.5,0,2,2,False
87,0,2,4,5,1,0.51,0,82,1,0,4,3,17.1034482758621,1,4.62068965517241,1,1,1.09375,0,14,0.4,0,3,4,True
88,0,1,0,4,0,5.29,0,0,2,2,1,2,45.0,15,0.666666666666667,0,1,0.0,0,0,1.0,0,2,0,False
89,0,1,2,1,0,0.58,0,100,2,1,1,1,3.0,2,2.375,1,1,0.363636363636364,0,0,1.0,0,3,1,False
90,0,1,5,0,0,0.29,0,76,3,0,5,1,2.07692307692308,1,3.15384615384615,1,1,0.666666666666667,0,7,0.666666666666667,0,2,1,True
91,0,1,0,3,0,5.0,0,0,2,5,0,1,8.0,8,1.0,1,1,0.0,0,0,1.0,0,2,0,False
92,0,1,0,4,0,2.17,0,37,1,0,0,1,4.0,2,1.75,1,1,0.0,0,0,1.0,0,2,1,False
93,0,1,0,1,0,0.59,0,63,1,0,6,2,3.3,0,3.0,1,1,0.5,0,0,0.666666666666667,0,1,0,False
94,0,1,0,4,0,0.77,0,86,3,1,7,2,22.7380952380952,1,4.09523809523809,1,1,0.613636363636364,0,18,0.333333333333333,0,5,2,False
95,0,1,0,3,2,0.47,0,78,2,0,12,1,4.30769230769231,1,3.23076923076923,1,1,1.33333333333333,0,42,0.75,0,4,1,True
96,2,1,0,1,0,2.18,0,100,3,0,0,1,1.0,0,2.0,2,1,0.0,0,0,1.0,0,2,1,False
97,1,1,1,3,0,0.48,0,78,1,18,11,2,5.30769230769231,1,4.53846153846154,1,1,1.1875,0,9,0.833333333333333,0,2,2,False
98,0,1,0,3,0,1.31,0,0,2,0,1,1,0.125,0,1.125,1,1,0.0,0,14,0.666666666666667,0,4,0,False
99,1,1,0,2,0,2.0,0,0,3,0,0,1,1.0,0,0.666666666666667,0,1,0.0,0,0,1.0,0,1,2,False
100,1,1,1,2,0,1.29,0,0,2,0,1,1,0.5,0,1.1,0,1,0.25,0,0,1.0,0,3,1,False
101,0,1,0,0,0,3.29,0,0,2,0,0,1,2.0,2,1.0,1,1,0.0,0,0,1.0,0,1,0,False
102,0,1,0,2,0,0.54,0,77,2,0,4,1,4.26086956521739,0,3.8695652173913,1,1,0.4,0,16,0.75,0,2,2,True
103,0,0,0,0,0,5.25,0,0,2,7,0,2,0.0,0,0.0,0,0,1.33333333333333,0,15,0.666666666666667,0,1,0,False
104,0,1,0,10,0,9.57,0,0,2,1,2,1,1.0,1,0.0,0,1,0.0,0,6,0.666666666666667,0,1,0,False
105,0,1,0,0,0,1.5,0,100,3,0,0,1,1.33333333333333,0,2.0,2,1,0.0,0,0,0.5,0,1,0,False
106,0,1,0,3,0,0.7,0,44,2,0,9,1,2.33333333333333,0,4.33333333333333,1,1,0.8,0,0,0.5,0,1,0,False
107,1,1,24,11,0,1.26,0,93,1,0,6,2,4.73076923076923,0,4.26923076923077,1,1,0.758620689655172,0,12,0.5,0,1,1,True
108,0,0,0,0,0,247.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,63,1.0,0,1,0,False
109,2,1,0,0,0,1.37,0,100,1,5,1,1,0.5,0,0.5,0,0,0.0,0,0,1.0,0,2,1,False
110,0,1,0,0,0,0.11,0,50,2,0,9,2,2.375,2,14.625,4,2,1.44,0,2,0.666666666666667,0,2,0,False
111,7,1,0,11,0,5.29,0,100,2,1,3,1,1.0,1,1.0,1,1,0.0,0,1,0.5,0,2,0,False
112,0,1,0,0,0,1.09,0,60,1,6,2,4,2.8,0,1.0,0,1,0.0,0,0,1.0,0,2,2,False
113,0,1,0,0,0,0.14,0,0,1,2,6,2,0.032258064516129,0,0.032258064516129,0,1,0.0,0,1,0.5,0,2,1,False
114,0,1,0,0,0,0.1,0,0,1,11,19,2,0.357142857142857,0,0.404761904761905,0,1,0.0,0,6,0.5,0,3,3,False
115,8,1,0,5,0,5.19,0,0,2,1,1,1,3.22222222222222,0,1.0,1,1,0.0,0,0,1.0,0,1,0,False
116,0,1,0,3,0,2.29,0,100,3,0,0,1,2.33333333333333,0,2.33333333333333,2,1,0.0,0,0,1.0,0,1,0,False
117,1,1,1,1,5,0.36,0,88,1,3,15,2,5.81034482758621,0,3.20689655172414,0,1,0.420289855072464,0,9,0.666666666666667,0,3,2,True
118,1,1,0,1,0,3.33,0,0,1,1,1,1,2.0,2,1.0,1,1,0.0,0,0,1.0,0,1,1,False
119,29,1,0,5,0,2.85,0,0,1,3,5,1,1.0,1,0.0344827586206897,0,1,0.0,0,18,0.5,0,1,2,False
120,0,1,0,7,0,0.88,2,0,2,0,7,2,2.0,2,11.0,11,4,3.0,3,0,0.5,0,1,0,False
121,0,1,0,0,0,4.22,0,0,2,1,0,1,1.0,1,0.0,0,1,0.0,0,0,0.5,0,1,0,False
122,0,1,1,3,0,1.54,0,75,1,0,0,2,28.625,0,1.5,1,1,0.25,0,0,1.0,0,1,1,False
123,0,0,0,0,0,344.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,1,2,False
124,0,1,0,1,0,2.62,0,0,1,1,2,1,15.5,2,1.0,1,1,0.0,0,0,1.0,0,1,1,False
125,40,1,0,11,0,3.37,0,0,1,1,18,1,1.0,1,0.425,0,1,0.0,0,18,0.5,0,3,3,False
126,0,1,0,1,0,3.33,0,0,1,1,1,1,0.0,0,1.0,1,1,0.0,0,0,1.0,0,1,1,False
127,2,1,0,10,0,4.17,0,0,1,1,4,1,1.0,1,0.5,0,1,0.0,0,0,1.0,0,2,1,False
128,0,1,0,1,0,2.15,0,0,0,7,2,0,2.42857142857143,0,1.0,1,1,0.0,0,0,1.0,0,2,1,False
129,0,1,0,3,0,2.54,0,100,2,10,0,1,11.6666666666667,5,1.0,1,1,0.0,0,0,1.0,0,2,0,False
130,0,1,0,3,0,2.5,0,100,2,0,0,1,1.0,0,1.0,1,1,0.0,0,41,0.5,0,2,0,False
131,0,1,0,0,0,2.75,0,100,1,0,0,2,0.0,0,0.5,0,1,0.0,0,35,0.5,0,2,0,False
132,1,1,0,3,0,1.48,0,95,1,11,3,3,3.82352941176471,0,1.82352941176471,0,0,0.409090909090909,0,14,0.6,0,2,3,False
133,8,1,0,2,3,0.44,0,100,2,0,6,1,5.51851851851852,0,3.62962962962963,1,0,0.588235294117647,0,5,0.666666666666667,0,2,1,True
134,0,1,1,7,0,1.41,0,68,1,0,4,2,6.21428571428571,1,3.07142857142857,1,1,0.375,0,255,0.666666666666667,0,1,1,False
135,0,1,0,1,0,2.33,0,0,2,0,1,1,11.0,0,1.66666666666667,1,1,1.0,0,0,1.0,0,4,1,False
136,0,1,0,1,0,2.23,0,0,2,0,1,1,2.66666666666667,0,1.66666666666667,1,1,0.0,0,0,1.0,0,3,1,False
137,0,1,0,1,0,0.73,0,100,2,0,1,1,2.5,0,1.875,1,0,0.545454545454545,0,0,1.0,0,3,0,False
138,0,1,1,0,0,0.56,0,55,2,0,3,1,1.5,0,2.2,1,1,0.0,0,2,0.666666666666667,0,3,1,False
139,0,1,1,0,0,0.49,0,53,2,0,3,1,2.4,0,2.4,1,1,0.25,0,2,0.666666666666667,0,3,1,False
140,0,1,1,0,0,0.34,0,19,2,0,4,1,2.7,0,3.1,1,1,0.583333333333333,0,1,0.666666666666667,0,2,1,False
141,0,1,1,2,0,0.5,0,51,2,0,4,1,3.0,0,3.07142857142857,1,1,0.3125,0,0,0.666666666666667,0,2,1,False
142,0,2,1,1,1,0.59,0,100,2,5,7,1,6.27272727272727,0,3.09090909090909,1,0,0.5,0,3,0.666666666666667,0,4,1,False
143,0,1,1,2,0,0.47,0,71,3,0,6,1,2.89473684210526,0,3.15789473684211,1,1,0.428571428571429,0,0,0.666666666666667,0,5,0,False
144,0,2,1,2,0,1.46,0,0,3,0,4,1,2.25,0,3.0,1,1,1.0,0,0,1.0,0,1,0,False
145,0,1,0,6,0,5.95,0,100,2,3,2,1,6.0,0,0.818181818181818,0,0,0.0,0,0,1.0,0,2,1,False
146,0,1,1,5,0,1.98,0,0,1,21,2,2,0.181818181818182,0,1.0,0,1,0.0,0,0,0.666666666666667,0,3,0,False
147,0,2,0,2,1,0.39,0,100,1,0,6,2,3.95833333333333,0,2.54166666666667,1,0,1.07407407407407,0,4,0.4,0,3,2,False
148,0,1,1,0,0,0.8,0,66,2,0,2,1,1.33333333333333,0,1.33333333333333,0,1,0.375,0,0,1.0,0,2,1,False
149,0,1,1,0,0,0.51,0,55,2,0,2,1,2.88888888888889,1,2.33333333333333,1,1,0.545454545454545,0,2,0.666666666666667,0,4,1,False
150,0,1,0,2,0,2.7,0,100,2,0,0,1,1.5,0,1.0,1,1,0.0,0,0,1.0,0,2,0,False
151,0,1,0,2,0,3.0,0,100,2,0,0,1,0.5,0,1.0,1,1,0.0,0,0,1.0,0,2,1,False
152,0,1,1,0,0,0.93,0,33,2,0,1,1,2.0,1,2.16666666666667,1,1,0.0,0,0,1.0,0,3,1,False
153,0,1,1,0,1,0.18,0,72,2,0,4,2,2.61538461538462,0,4.07692307692308,1,1,1.25,0,0,0.666666666666667,0,2,0,False
154,0,1,0,0,0,1.71,0,0,2,0,0,1,1.0,0,1.33333333333333,1,1,0.0,0,0,1.0,0,2,0,False
155,0,0,0,0,0,32.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,2,0,False
156,0,1,1,1,0,0.87,0,50,2,0,1,1,3.0,1,2.22222222222222,1,1,0.0,0,2,0.666666666666667,0,3,2,False
157,0,0,0,0,0,2.34,0,0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,5,1.0,0,1,0,False
158,0,3,18,7,0,0.4,1,92,1,0,14,1,7.4,1,3.44,1,1,1.85185185185185,0,17,0.666666666666667,0,1,0,False
159,0,1,1,0,0,0.47,0,55,2,0,2,1,4.88888888888889,1,2.33333333333333,1,1,0.272727272727273,0,2,0.666666666666667,0,4,1,False
160,0,2,1,2,0,1.38,0,0,3,0,4,1,3.75,0,3.0,1,1,1.0,0,0,1.0,0,2,2,False
161,0,1,0,1,0,0.71,0,66,2,0,2,1,1.72727272727273,0,1.36363636363636,1,1,0.307692307692308,0,0,1.0,0,1,0,False
162,0,1,0,3,0,1.23,0,50,2,0,2,1,4.83333333333333,0,3.66666666666667,1,1,0.75,0,2,0.5,0,2,3,False
163,0,1,1,1,0,0.95,0,42,3,0,4,1,3.14285714285714,0,2.0,1,1,0.444444444444444,0,0,1.0,0,2,1,False
164,0,1,1,6,0,1.47,0,0,3,0,4,1,3.0,0,4.2,2,1,1.0,0,0,1.0,0,1,1,False
165,0,1,1,3,0,0.72,0,74,2,1,10,1,6.15789473684211,1,3.52631578947368,1,1,0.428571428571429,0,0,0.666666666666667,0,3,3,False
166,0,1,0,0,0,0.63,0,50,2,0,2,1,2.63636363636364,0,2.36363636363636,1,1,0.230769230769231,0,0,0.666666666666667,0,2,3,False
167,0,1,0,0,0,1.15,0,16,2,0,1,1,2.83333333333333,0,3.0,1,1,0.0,0,0,1.0,0,1,4,False
168,0,1,1,1,1,0.51,0,66,2,0,3,1,2.36363636363636,0,3.45454545454545,1,1,0.923076923076923,0,0,0.666666666666667,0,3,1,False
169,0,1,1,2,0,1.6,0,0,3,0,4,1,3.0,0,3.0,1,1,0.5,0,0,1.0,0,2,1,False
170,0,1,0,0,0,0.4,0,50,2,0,2,1,3.53846153846154,0,2.46153846153846,1,1,0.2,0,0,0.666666666666667,0,3,1,False
171,0,1,0,2,0,1.24,0,42,1,6,1,3,4.85714285714286,1,1.42857142857143,1,1,0.0,0,0,1.0,0,4,0,False
172,0,1,3,6,0,1.26,0,65,2,0,0,1,4.0,1,2.8,1,1,0.461538461538462,0,4,0.333333333333333,0,1,1,True
