File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0,0,0,1,1,0,3,1,0,2,8,0.9,0,58,2,0,7,1,1.25,1,2,1,0.272727272727273,0.0,0,3,1,False
1,0,0,2,0,0,1,1,0,3,3,0.81,0,44,3,0,2,1,3.0,2,3,1,1.2,0.0,0,3,1,False
2,16,0,12,0,0,8,1,1,5,2,0.23,3,75,1,0,0,1,3.73684210526316,1,1,1,1.38095238095238,0.0,0,1,3,False
3,0,0,1,1,0,5,1,0,1,3,1.68,0,33,2,0,3,1,1.33333333333333,1,3,1,1.0,0.0,0,3,1,False
4,0,0,10,2,0,18,1,0,7,2,0.76,9,55,3,0,1,1,5.5,2,2,1,4.5,0.0,0,2,1,True
5,0,0,1,0,0,2,1,0,0,2,2.67,0,0,2,0,3,1,0.5,0,1,1,0.8,0.0,0,3,0,False
6,0,0,4,1,0,2,1,0,1,2,1.06,4,25,3,0,1,1,3.5,2,4,2,3.25,0.0,0,4,0,False
7,2,0,3,2,0,0,1,0,7,2,0.77,3,61,3,0,1,1,4.75,3,2,1,1.83333333333333,0.0,0,2,1,False
8,0,0,1,1,0,3,1,0,1,6,0.68,0,41,2,0,6,1,1.5,1,2,1,0.888888888888889,0.0,0,3,1,False
9,0,0,1,1,0,3,1,0,2,8,1.05,0,58,2,0,7,1,1.25,1,2,1,0.272727272727273,1.0,0,2,1,False
10,0,0,2,0,0,2,1,0,3,5,0.82,0,53,3,0,2,1,2.6,1,1,1,1.0,1.0,0,2,1,False
11,6,0,2,0,0,7,1,1,2,0,0.48,0,78,1,0,0,1,2.42857142857143,2,4,2,2.22222222222222,1.0,0,1,2,False
12,1,0,1,25,1,2,1,0,2,5,0.34,0,93,2,0,5,1,2.5,1,3,1,1.0,0.0,0,1,0,False
13,0,0,55,3,1,57,1,0,0,1,0.23,1,0,1,0,0,1,6.0,6,2,55,3.0,0.0,0,1,0,False
14,0,0,1,0,0,0,1,0,1,2,0.75,2,0,3,0,2,1,3.0,3,3,1,0.75,0.0,0,1,0,False
15,0,0,1,1,0,2,1,1,1,4,0.73,0,60,3,0,1,1,2.6,1,3,1,1.5,0.0,0,1,1,False
16,0,0,1,1,0,3,1,0,2,7,0.89,0,57,2,0,7,1,1.71428571428571,1,2,1,0.333333333333333,1.0,0,2,2,False
17,0,0,2,0,0,2,1,0,3,5,0.82,0,53,3,0,2,1,2.2,1,1,1,1.0,0.0,0,2,0,False
18,19,0,3,0,0,7,1,1,8,0,0.43,1,76,1,0,0,1,5.1,2,1,1,2.86363636363636,0.0,0,1,2,False
19,2,0,2,5,1,2,2,1,5,5,0.5,1,71,3,0,2,1,4.875,1,1,1,1.0,0.0,0,1,0,False
20,1,0,2,5,1,3,2,0,8,5,0.63,1,66,3,0,2,1,5.0,1,1,1,0.666666666666667,0.0,0,1,0,False
21,1,0,2,2,0,3,1,0,3,3,0.62,0,55,3,0,1,1,6.0,3,2,1,1.33333333333333,0.0,0,1,0,False
22,0,0,2,2,0,5,1,0,7,3,0.71,0,59,3,0,1,1,8.33333333333333,3,2,1,1.4,0.0,0,1,0,False
23,0,0,1,1,0,5,1,0,3,9,1.05,0,63,2,0,6,1,1.77777777777778,1,1,1,0.666666666666667,0.0,0,3,1,False
24,0,0,1,0,0,3,1,0,3,7,0.9,0,57,3,0,2,1,2.57142857142857,1,1,1,0.888888888888889,0.0,0,3,1,False
25,16,1,2,0,0,2,1,0,5,1,0.29,0,86,1,0,0,1,3.33333333333333,2,1,1,1.5,0.0,0,2,2,False
26,1,0,1,0,5,5,1,0,0,4,0.77,0,0,1,0,0,1,2.2,1,2,2,2.0,0.0,0,3,1,False
27,0,0,1,0,0,0,1,0,2,2,0.95,0,0,3,0,3,1,4.5,4,5,1,1.0,1.0,0,1,0,False
28,0,0,1,0,6,2,1,0,0,6,1.35,0,0,1,0,0,1,3.33333333333333,2,1,1,0.0,1.0,0,1,0,False
29,0,0,1,0,0,0,1,0,0,2,1.05,0,0,3,0,3,1,2.5,2,2,1,0.75,1.0,0,1,0,False
30,0,0,1,0,0,0,1,0,0,2,1.29,0,0,3,0,2,1,2.5,2,2,1,0.75,1.0,0,1,0,False
31,1,0,1,30,1,2,1,0,2,5,0.31,0,94,2,0,6,1,3.16666666666667,1,3,1,1.0,1.0,0,1,2,False
32,0,0,10,3,1,0,1,0,0,1,0.13,5,0,1,0,0,1,6.0,6,2,22,2.0,1.0,0,1,2,False
33,0,0,3,0,0,2,1,1,1,1,1.3,0,0,4,0,0,1,4.5,3,2,1,1.5,1.0,0,2,1,False
34,0,0,1,0,0,0,1,0,1,2,0.82,2,0,3,0,2,1,3.0,3,3,1,0.75,1.0,0,2,1,False
35,0,0,2,0,0,2,1,0,2,3,0.85,0,33,3,0,2,1,2.33333333333333,1,1,1,1.4,1.0,0,2,1,False
36,16,0,2,36,1,5,1,0,4,5,0.37,0,96,1,0,0,1,4.14285714285714,1,1,1,0.956521739130435,1.0,0,1,2,False
37,0,0,1,1,0,3,1,0,1,5,1.08,0,70,4,0,1,1,2.2,0,2,1,1.5,1.0,0,1,0,False
38,0,0,1,0,0,0,1,0,3,4,0.74,0,33,4,0,1,1,2.5,0,1,1,0.5,1.0,0,1,0,False
39,0,0,1,0,0,0,1,0,1,4,1.0,0,0,4,0,1,1,2.25,2,2,1,0.5,1.0,0,1,0,False
40,0,0,1,0,0,0,1,0,0,1,1.18,0,0,2,0,6,1,2.0,2,5,1,0.5,0.0,0,1,0,False
41,0,0,4,0,0,0,1,0,2,2,0.48,0,25,3,0,1,1,3.5,2,4,1,1.5,0.0,0,1,0,False
42,0,0,1,0,0,0,1,0,0,1,0.83,1,0,2,0,2,1,0.0,0,5,2,1.0,0.0,0,3,0,False
43,1,0,3,0,0,1,1,0,0,1,0.57,0,0,2,0,4,1,2.0,1,7,2,2.5,0.0,0,2,0,False
44,1,0,1,0,0,9,1,0,0,1,1.36,0,0,2,0,4,1,2.5,0,2,1,0.75,0.0,0,1,0,False
45,1,0,1,0,0,0,1,0,0,1,0.48,0,0,2,0,6,1,1.5,0,5,1,2.25,0.0,0,1,0,False
46,0,0,1,0,0,6,1,0,0,2,0.8,9,0,2,0,4,1,2.5,0,5,2,1.0,0.0,0,2,0,False
47,0,0,1,0,0,0,1,0,1,9,0.24,0,0,2,0,5,1,1.77777777777778,0,2,1,0.454545454545455,0.0,0,1,0,False
48,0,0,1,0,0,0,1,0,1,9,0.24,0,0,2,0,3,1,1.77777777777778,0,1,1,0.454545454545455,0.0,0,1,0,False
49,0,0,1,0,0,1,1,0,2,7,0.37,1,21,2,0,4,1,1.42857142857143,0,2,1,1.55555555555556,0.0,0,1,0,False
50,0,0,1,0,0,1,1,0,2,7,0.38,1,21,2,0,2,1,1.42857142857143,0,1,1,1.55555555555556,0.0,0,1,0,False
51,1,0,1,0,0,0,2,2,0,3,0.33,0,0,3,0,6,1,1.0,0,0,1,0.888888888888889,1.0,0,1,0,False
52,0,0,1,0,0,0,1,2,0,2,0.45,0,0,2,0,5,1,0.25,0,0,1,0.5,1.0,0,1,0,False
53,1,0,1,0,0,0,2,2,0,3,0.35,0,0,3,0,5,1,0.833333333333333,0,0,1,0.555555555555556,1.0,0,1,0,False
54,0,0,3,0,0,0,1,1,7,3,0.23,5,64,2,0,5,1,3.0,0,2,1,1.66666666666667,1.0,0,1,2,False
55,0,0,1,0,0,2,1,2,2,2,0.46,0,50,2,0,2,1,1.5,0,1,1,0.666666666666667,0.0,0,2,0,False
56,0,0,1,0,0,0,1,2,0,2,0.45,0,0,2,0,6,1,0.5,0,0,1,1.0,1.0,0,1,0,False
57,0,0,1,0,0,0,1,2,0,2,0.54,0,0,2,0,6,1,0.25,0,0,1,0.5,1.0,0,1,0,False
58,1,0,1,0,0,0,2,2,0,3,0.35,0,0,3,0,6,1,0.833333333333333,0,0,1,0.888888888888889,1.0,0,1,0,False
59,0,0,1,0,0,0,1,0,0,2,0.66,3,0,2,0,4,1,2.5,0,1,1,0.75,0.0,0,2,0,False
60,0,1,1,0,0,0,1,0,0,0,3.2,0,0,1,0,0,1,1.0,1,0,1,2.0,0.0,0,2,0,False
61,0,1,1,0,0,6,1,0,0,0,4.0,0,0,0,2,2,0,1.0,1,1,1,0.0,0.0,0,2,1,False
62,0,0,1,0,0,1,1,0,1,7,0.75,0,42,2,0,0,1,1.0,0,1,1,0.444444444444444,0.0,0,2,0,False
63,0,0,1,0,0,10,1,0,0,1,1.59,4,0,1,0,4,2,2.0,2,5,5,2.0,0.0,0,2,1,False
64,1,0,1,0,3,7,1,0,1,7,0.81,1,50,1,0,4,1,3.5,1,3,1,1.0,0.0,0,1,1,False
65,1,0,1,1,0,4,3,0,11,16,0.53,1,82,2,0,20,2,2.94117647058824,0,1,1,1.23809523809524,0.0,0,1,1,False
66,0,0,1,0,1,8,1,0,1,3,1.34,1,33,1,0,4,1,3.66666666666667,3,1,1,0.6,0.0,0,2,1,False
67,0,0,1,0,0,0,1,1,0,1,1.0,1,0,2,2,0,1,3.0,3,1,1,0.0,0.0,0,2,0,False
68,0,0,1,0,0,0,1,0,1,4,0.76,0,25,3,0,1,1,0.5,0,1,1,0.0,0.0,0,2,0,False
69,0,0,1,1,0,3,1,0,4,3,0.7,1,46,2,0,8,1,2.0,1,1,1,0.0,0.0,0,2,0,False
70,0,0,1,0,0,0,1,0,1,4,0.8,0,25,3,0,1,1,0.5,0,1,1,0.0,0.0,0,2,0,False
71,0,0,7,0,1,7,1,0,0,1,0.81,0,0,1,1,0,2,3.0,3,5,7,4.0,1.0,0,1,0,False
72,0,1,1,0,0,7,1,0,0,0,3.71,0,0,0,2,2,0,1.0,1,1,1,0.0,1.0,0,1,0,False
73,0,0,0,0,0,0,1,0,0,0,6.0,0,0,0,1,0,0,0.0,0,0,0,0.0,1.0,0,1,0,False
74,0,0,1,0,1,3,1,0,3,5,0.69,1,53,1,0,3,1,6.2,4,1,1,1.125,1.0,0,1,1,False
75,0,0,1,0,0,0,1,2,3,5,0.62,0,66,1,3,3,2,1.28571428571429,0,1,1,1.1,0.0,0,1,0,False
76,3,0,1,6,0,0,2,4,16,10,0.41,0,90,1,5,13,2,4.23529411764706,0,1,1,0.9,0.0,0,2,1,False
77,0,0,1,0,0,1,1,0,0,3,0.82,0,0,1,0,2,2,2.66666666666667,0,1,1,1.2,0.0,0,1,0,False
78,0,3,1,0,0,0,5,2,7,11,0.34,0,70,2,0,4,2,2.3125,0,0,1,0.681818181818182,1.0,0,2,1,False
79,0,0,1,0,0,2,1,0,5,11,1.04,0,72,1,0,0,1,2.54545454545455,1,1,1,0.0,0.0,0,1,0,False
80,0,0,1,0,0,1,1,0,0,11,2.6,0,0,0,1,3,0,0.818181818181818,0,0,1,0.0,0.0,0,1,2,False
81,1,2,1,6,0,1,3,0,10,7,0.16,0,92,3,0,4,2,5.0,1,1,1,1.5,0.8,0,2,0,True
82,0,0,1,0,0,1,1,1,0,0,0.54,2,0,2,0,6,2,3.0,3,18,16,5.0,0.0,0,1,1,False
83,0,0,1,0,0,8,1,0,0,2,4.0,0,0,0,1,1,0,0.5,0,1,1,0.0,0.0,0,1,0,False
84,1,1,1,2,0,0,2,1,9,6,0.25,0,80,2,1,6,1,4.11111111111111,0,1,1,1.41666666666667,0.8,0,1,1,True
85,0,0,0,0,0,0,1,0,0,0,7.0,0,0,2,0,0,1,0.0,0,0,0,0.0,0.0,0,1,0,False
86,0,0,1,0,0,2,1,0,0,5,2.9,0,0,0,4,2,0,0.8,0,0,1,0.0,0.0,0,1,0,False
87,0,0,1,0,0,1,1,2,5,3,0.55,1,64,2,1,3,1,2.6,1,2,1,1.14285714285714,1.0,0,2,0,False
88,2,0,1,1,2,3,1,1,0,0,0.49,2,66,2,0,11,2,3.33333333333333,2,6,1,1.8,0.0,0,2,1,False
89,1,0,1,1,0,0,1,1,1,2,0.78,0,62,2,0,2,1,1.0,0,1,1,0.5,0.0,0,2,0,False
90,0,0,1,0,0,7,1,1,0,0,0.82,1,0,2,1,9,2,4.0,4,12,1,0.0,0.0,0,2,1,False
91,0,0,1,0,0,4,1,1,0,0,0.53,1,0,3,0,5,1,3.0,3,10,24,5.0,0.0,0,2,1,False
92,5,0,2,2,0,1,1,1,7,3,0.3,0,76,2,0,4,1,4.0,0,2,1,1.81818181818182,1.0,0,2,0,False
93,0,0,1,0,0,2,1,0,11,18,0.62,0,84,1,0,14,1,5.27777777777778,1,1,1,0.5,0.8,0,3,1,False
94,1,0,1,0,2,8,1,0,0,1,0.69,4,0,1,0,7,1,0.5,0,2,1,0.0,0.0,0,1,0,False
95,1,0,1,0,0,3,1,0,3,5,1.45,0,66,1,0,3,1,3.66666666666667,2,1,1,0.111111111111111,0.0,0,2,0,False
96,0,0,1,0,0,2,1,0,4,5,1.24,0,60,1,0,0,1,6.8,6,1,1,0.0,0.0,0,1,1,False
97,0,2,1,0,0,2,1,0,10,12,0.99,0,78,1,0,1,2,4.5,1,1,1,0.25,0.0,0,1,1,False
98,1,0,1,1,0,0,1,0,4,6,0.82,0,77,2,0,5,1,1.42857142857143,0,1,1,0.9,0.0,0,2,2,False
99,0,0,1,0,0,0,1,1,0,2,1.64,0,0,2,0,2,1,0.333333333333333,0,1,1,0.0,0.0,0,1,1,False
100,0,0,1,0,0,0,1,0,0,2,1.18,0,0,2,0,2,1,1.0,0,2,1,0.75,1.0,0,1,1,False
101,0,0,1,0,0,0,1,0,0,2,1.24,0,0,2,0,2,1,0.5,0,2,1,0.75,0.0,0,1,1,False
102,0,0,1,0,0,0,1,0,0,2,0.74,2,0,2,0,6,1,3.5,2,2,1,0.0,1.0,0,3,0,True
103,1,0,1,4,0,1,1,0,4,6,0.98,0,75,2,0,3,1,2.28571428571429,0,1,1,0.444444444444444,0.0,0,2,1,False
104,0,0,1,0,0,2,1,0,2,4,0.65,0,50,2,0,2,1,1.5,0,1,1,1.16666666666667,1.0,0,1,0,False
105,0,0,1,5,0,1,1,0,0,2,0.64,2,50,2,0,6,1,3.0,1,2,1,0.75,1.0,0,3,0,True
106,0,0,1,0,0,0,1,0,0,2,1.25,0,0,2,0,3,1,0.5,0,2,1,0.0,0.0,0,1,1,False
107,0,0,1,0,0,0,1,0,0,2,1.62,0,0,2,0,2,1,0.5,0,2,1,0.0,1.0,0,1,1,False
108,1,2,1,1,0,3,1,4,5,13,1.03,0,87,1,18,5,2,6.3,1,0,1,0.318181818181818,1.0,0,1,1,False
109,0,0,1,0,0,2,1,1,0,8,0.73,0,0,2,3,9,1,1.55555555555556,1,1,1,1.36363636363636,0.0,0,1,0,False
110,1,1,1,1,0,0,2,0,9,7,0.41,0,71,2,0,10,1,2.33333333333333,0,0,1,1.25,1.0,0,1,0,False
111,0,0,1,0,0,1,1,1,0,2,0.56,0,0,3,0,4,1,1.33333333333333,0,2,1,1.8,0.0,0,2,0,False
112,0,0,1,10,0,2,1,6,0,1,0.52,0,82,2,4,5,1,5.42857142857143,0,1,1,1.33333333333333,0.0,0,2,0,False
113,0,0,1,0,0,0,1,1,0,2,0.47,0,0,4,0,4,1,2.0,1,2,1,1.8,0.0,0,2,0,False
114,0,0,1,0,0,2,1,1,0,2,0.62,0,0,3,0,4,1,1.33333333333333,0,2,1,2.4,0.0,0,2,0,False
115,0,0,1,0,0,2,1,1,0,2,0.61,0,0,3,0,4,1,1.66666666666667,0,2,1,2.4,0.0,0,2,0,False
116,0,0,1,0,0,1,1,1,0,2,0.53,0,0,4,0,4,1,2.0,1,2,1,2.4,0.0,0,2,0,False
117,0,0,1,0,0,0,1,1,1,4,0.51,0,19,3,2,4,1,2.2,1,1,1,1.71428571428571,0.0,0,1,0,False
118,0,0,1,0,0,0,1,1,0,2,1.71,0,0,2,1,1,1,0.666666666666667,0,1,1,0.0,0.0,0,1,0,False
119,0,0,1,0,0,0,1,0,0,2,2.09,0,0,4,0,1,1,0.5,0,2,1,0.0,1.0,0,1,2,False
120,0,0,1,0,0,0,1,0,0,2,2.09,0,0,3,1,1,1,1.0,0,2,1,0.0,1.0,0,1,2,False
121,0,0,1,0,0,0,1,0,0,6,0.96,0,0,3,1,2,1,0.5,0,1,1,0.0,0.0,0,1,1,False
122,0,0,1,0,0,0,1,1,1,4,0.88,0,60,4,0,4,1,1.2,0,1,1,0.428571428571429,0.0,0,2,1,False
123,0,0,1,0,0,0,1,0,0,2,2.8,0,0,4,0,1,1,0.5,0,1,1,0.0,0.0,0,1,2,False
124,0,0,1,0,0,0,1,0,1,9,0.88,0,77,3,2,2,1,0.555555555555556,0,1,1,0.0,0.0,0,2,0,False
125,0,0,1,0,0,1,1,0,2,4,1.28,0,50,2,0,2,1,1.0,0,1,1,0.5,0.0,0,2,0,False
126,8,0,1,1,0,1,2,1,12,14,0.28,0,79,2,0,4,2,4.65217391304348,1,1,1,1.26923076923077,0.8,0,3,0,True
127,0,0,1,0,0,0,1,0,0,6,1.17,0,0,3,0,2,1,0.166666666666667,0,1,1,0.0,0.0,0,1,0,False
128,1,0,1,2,0,0,1,0,5,6,0.37,0,79,2,0,6,1,2.14285714285714,0,1,1,0.888888888888889,1.0,0,1,0,False
129,1,0,4,0,0,6,1,0,1,4,0.28,2,0,1,0,5,1,5.2,2,1,1,3.25,0.0,0,1,0,False
130,4,0,1,1,0,5,1,0,5,12,0.45,0,71,1,0,1,1,5.125,2,1,1,1.33333333333333,0.666666666666667,0,3,1,False
131,0,0,7,0,1,7,1,0,0,1,1.13,0,0,1,0,0,1,3.0,3,5,7,4.0,0.0,0,1,0,False
132,0,0,1,2,8,4,1,0,0,8,1.02,0,31,1,0,0,1,5.25,4,3,1,0.3,1.0,0,2,0,False
133,0,0,0,5,0,0,1,0,0,0,2.11,0,0,1,0,0,1,0.0,0,0,0,0.0,0.0,0,1,0,False
134,2,0,1,0,2,1,1,0,3,10,0.36,0,66,1,0,4,1,1.66666666666667,0,1,1,0.428571428571429,0.0,0,1,1,False
135,0,0,1,0,0,7,1,0,0,3,5.71,0,0,0,1,1,0,1.33333333333333,1,1,1,0.5,0.0,0,1,0,False
136,1,0,1,0,0,4,1,0,6,6,0.91,0,61,1,0,10,1,5.14285714285714,1,1,1,0.777777777777778,1.0,0,1,0,False
137,0,0,1,0,0,3,1,0,2,5,1.72,0,40,1,0,0,2,3.2,1,1,1,0.428571428571429,0.0,0,1,0,False
138,0,0,1,0,0,5,1,0,0,1,4.0,0,0,0,1,3,0,1.0,1,1,1,0.0,0.0,0,1,0,False
139,3,0,1,2,1,3,2,0,12,16,0.51,0,77,1,0,1,1,4.0,1,1,1,0.590909090909091,1.0,0,1,0,False
140,0,0,1,0,1,6,1,0,0,1,0.3,10,0,1,0,11,1,1.0,1,11,1,1.25,0.5,0,1,1,False
141,0,0,2,0,0,7,1,0,1,2,1.11,0,0,1,0,1,1,1.5,1,2,1,2.25,1.0,0,1,0,False
142,0,2,1,0,0,2,2,0,3,6,0.37,0,37,1,0,2,2,3.0,2,1,1,1.72727272727273,0.0,0,1,0,False
143,1,0,2,1,0,5,1,0,0,2,0.84,0,66,1,0,1,1,4.0,2,1,1,2.2,0.0,0,1,0,False
144,0,0,1,0,0,3,2,0,2,3,1.36,0,0,1,0,4,2,4.33333333333333,3,2,1,0.428571428571429,0.0,0,1,0,False
145,4,2,1,1,2,1,3,1,3,1,0.32,0,60,2,0,8,1,3.5,2,1,1,0.916666666666667,0.0,0,1,0,False
146,0,0,1,0,0,2,1,0,3,2,1.17,0,16,1,0,5,2,4.0,4,3,1,0.75,0.0,0,1,0,False
147,1,0,1,1,0,3,1,0,3,3,0.7,0,50,1,0,5,1,5.5,2,1,1,0.666666666666667,1.0,0,1,0,False
148,0,0,1,1,1,1,1,0,0,1,0.74,0,100,1,0,7,1,2.0,2,6,1,1.5,1.0,0,1,0,False
149,0,0,2,3,2,6,1,6,0,4,0.25,0,90,2,0,25,2,5.5,0,1,1,2.75,0.0,0,1,2,False
150,0,0,1,0,0,0,1,0,4,8,0.6,0,75,1,0,1,2,1.5,1,1,1,0.0,1.0,0,1,1,False
151,0,0,1,0,0,0,1,0,6,2,1.17,0,50,1,0,0,1,5.0,0,2,1,1.4,0.0,0,1,0,False
152,0,0,1,0,2,2,1,0,5,3,0.97,0,33,1,0,2,1,3.66666666666667,1,1,1,2.4,0.0,0,1,0,False
153,0,3,1,12,5,0,4,1,23,27,0.18,0,90,1,0,10,1,3.74193548387097,1,1,1,0.833333333333333,0.0,0,1,0,False
154,0,0,1,0,0,0,1,0,4,15,0.27,0,78,1,0,2,1,2.53333333333333,0,1,1,0.588235294117647,0.0,0,1,1,False
155,0,0,1,0,1,1,1,1,6,10,0.7,0,66,1,0,0,1,2.72727272727273,0,1,1,0.230769230769231,0.0,0,1,0,False
156,1,0,1,3,2,1,2,1,3,4,0.22,1,73,1,0,0,2,3.33333333333333,1,1,1,2.8,0.0,0,1,1,False
157,1,1,1,3,2,0,2,0,7,9,0.12,0,81,2,0,1,1,3.45454545454545,1,1,1,1.07142857142857,0.666666666666667,0,1,0,False
158,1,0,1,1,1,0,1,0,0,2,1.19,0,66,4,0,1,1,0.666666666666667,0,1,1,0.0,0.0,0,1,0,False
159,2,0,1,3,3,4,2,1,1,10,0.32,2,90,3,0,11,1,1.69230769230769,0,1,1,0.6875,0.833333333333333,0,2,0,True
