commit_id,nuc,arexp,ent,ndev,ns,age,asexp,la,ld,target
0,1.0,2.0,0.0,1.0,1,3.0,2.0,3,3,False
1,1.0,0.0,0.0,1.0,1,4.0,0.0,728,706,False
2,0.0,1.0,0.0,0.0,1,0.0,1.0,83,0,True
3,0.0,3.0,2.9538223172809,0.0,1,0.0,3.0,1914,0,True
4,1.33333333333333,4.0,1.58496250072116,0.333333333333333,1,4.0,4.0,3,3,False
5,0.0,2.0,0.0,0.0,1,0.0,2.0,2,3,False
6,1.0,5.0,0.0,1.0,1,9.0,5.0,1,1,False
7,1.0,4.0,0.5435644431995961,0.5,1,9.0,4.0,8,8,False
8,1.33333333333333,15.0,1.20600269024337,0.666666666666667,1,18.6666666666667,11.0,11,10,True
9,0.75,7.0,0.7489530148035791,0.25,1,16.5,7.0,17,29,False
10,1.6666666666666698,10.0,3.39883091984154,0.166666666666667,1,23.61111111111111,10.0,261,36,True
11,1.0,9.0,0.0,1.0,1,31.0,9.0,29,0,False
12,1.8,10.0,1.970345906426,0.4,1,30.2,10.0,33,12,True
13,3.0,11.0,0.0,1.0,1,34.0,11.0,8,1,False
14,2.3,12.0,2.46610511865713,0.3,1,11.5,12.0,262,15,True
15,3.0,13.0,0.0,2.0,1,0.0,13.0,0,1,False
16,3.0,52.0,0.0,1.0,1,44.0,46.0,6,0,False
17,2.0,54.0,0.0,2.0,1,45.0,48.0,6,0,False
18,3.25,14.0,1.64022392894185,0.75,1,52.25,14.0,7,8,False
19,0.0,64.0,0.0,0.0,1,0.0,57.0,5,0,False
20,2.0,66.0,0.0,1.0,1,0.0,59.0,2,1,False
21,1.0,13.0,0.591672778582327,0.5,1,110.0,13.0,12,2,True
22,5.33333333333333,68.0,1.53091803233897,1.0,1,5.66666666666667,61.0,230,43,True
23,2.35714285714286,69.0,2.6477242381774704,0.214285714285714,1,62.21428571428571,62.0,392,205,True
24,3.0,14.0,0.954434002924965,1.5,1,64.5,14.0,12,4,False
25,2.0,15.0,0.0,2.0,1,94.0,15.0,5,5,False
26,0.0,15.0,0.0,0.0,1,0.0,15.0,174,0,False
27,0.0,70.0,0.0,0.0,1,0.0,63.0,213,0,False
28,4.0,16.0,0.0,2.0,1,54.0,16.0,1,1,False
29,1.0,17.0,0.0,1.0,1,12.0,17.0,0,174,False
30,3.0,71.0,0.0,3.0,1,31.0,64.0,8,8,False
31,0.0,72.0,0.0,0.0,1,0.0,65.0,59,0,False
32,2.0,73.0,0.0,2.0,1,19.0,66.0,207,191,False
33,1.0,16.0,0.0,1.0,1,5.0,16.0,3,4,False
34,2.6666666666666696,75.0,3.51424740077419,0.121212121212121,1,54.6969696969697,68.0,5039,4567,True
35,2.0,76.0,1.41192268597619,0.4,1,99.8,69.0,131,83,False
36,7.0,78.0,0.0,3.0,1,0.0,71.0,0,3,False
37,5.0,79.0,0.989682299108372,1.5,1,0.0,72.0,170,123,False
38,0.0,80.0,0.0,0.0,1,0.0,73.0,70,0,False
39,2.5,18.0,0.991820797421842,1.5,1,85.5,18.0,72,22,True
40,4.0,18.0,0.0,3.0,1,29.0,18.0,9,11,True
41,1.0,19.0,0.0,1.0,1,137.0,19.0,1,0,False
42,1.4,20.0,2.83059952162283,0.3,1,1.2,20.0,430,33,False
43,3.675,24.0,4.442772574560781,0.1,1,40.1,24.0,483,403,True
44,6.0,25.0,0.0,3.0,1,0.0,25.0,10,9,False
45,4.25,27.0,0.936660626154714,0.75,1,44.5,27.0,102,53,True
46,8.0,28.0,0.0,3.0,1,7.0,28.0,3,3,False
47,3.0,22.0,0.0,3.0,1,8.0,22.0,2,19,False
48,3.0,23.0,0.0,3.0,1,8.0,23.0,14,14,False
49,4.91666666666667,89.0,3.1094653294733194,0.166666666666667,1,7.33333333333333,82.0,542,805,True
50,4.0,93.0,0.0,3.0,1,3.0,86.0,11,40,False
51,4.0,29.0,2.62858705760065,0.1739130434782609,1,63.304347826087,29.0,3678,3545,True
52,4.4375,26.0,3.8200058892153,0.25,1,82.5,26.0,68,62,True
53,0.0,30.0,5.116199915665232,0.0,1,0.0,30.0,2645,0,True
54,9.0,31.0,0.0,3.0,1,14.0,31.0,22,5,True
55,8.4,32.0,1.3489005028248302,0.8,1,17.8,32.0,422,142,True
56,2.0,0.0,0.0,1.0,1,1.0,0.0,1,1,False
57,3.0,21.0,0.0,1.0,1,3.0,12.0,4,4,False
58,3.0,2.0,0.0,1.0,1,13.0,1.0,1,1,False
59,0.75,23.0,4.1873761066506,0.0555555555555556,1,11.6388888888889,13.0,625,329,False
60,2.0,96.0,0.0,1.0,1,28.0,0.0,1,1,False
61,2.0,26.0,2.36645220295406,0.125,1,31.0,15.0,88,63,True
62,4.0,3.0,0.0,1.0,1,28.0,0.0,6,0,False
63,2.0,3.0,0.0,1.0,1,10.0,2.0,43,37,False
64,2.6666666666666696,27.0,1.10128694406173,0.333333333333333,1,29.6666666666667,16.0,69,5,True
65,3.0,28.0,0.0,1.0,1,37.0,17.0,2,2,False
66,3.75,4.0,1.0349076292335602,0.5,1,11.0,3.0,50,4,True
67,2.1666666666666696,5.0,2.17829387149189,0.166666666666667,1,44.0,4.0,40,22,False
68,3.0,4.0,1.34808487511482,0.25,1,44.0,1.0,93,34,False
69,0.0,29.0,0.0,0.0,1,0.0,18.0,114,0,False
70,1.94444444444444,9.0,3.37259809960238,0.166666666666667,3,27.0,0.4999237921048621,959,434,True
71,2.96969696969697,10.0,3.6090648584846496,0.121212121212121,1,28.4848484848485,8.0,997,477,True
72,2.5,11.0,0.91829583405449,1.5,1,29.0,9.0,7,2,False
73,5.33333333333333,12.0,1.55665670746282,1.33333333333333,1,8.0,10.0,5,2,False
74,3.4285714285714306,13.0,1.50568828885755,0.5714285714285711,1,30.5714285714286,11.0,172,48,True
75,4.66666666666667,14.0,1.4281945908435,1.0,1,1.0,12.0,3,20,False
76,4.1,34.0,2.20985054579552,0.3,2,9.4,0.0,486,209,True
77,4.02564102564103,35.0,4.5129973433116914,0.102564102564103,1,24.076923076923105,1.0,137,97,True
78,6.5,36.0,0.518569731788306,1.5,1,4.0,2.0,150,22,False
79,0.0,37.0,0.8381001270109292,0.0,1,0.0,3.0,665,0,False
80,6.0,38.0,1.41740401420836,1.0,1,0.75,4.0,150,93,False
81,3.63157894736842,30.0,3.29408477825355,0.157894736842105,1,17.2105263157895,19.0,269,95,True
82,3.4166666666666696,16.0,1.96371791035102,0.4166666666666671,3,4.41666666666667,0.3888888772736021,378,76,True
83,3.6,17.0,1.24221985803475,0.8,2,23.2,0.748046875,170,8,True
84,9.0,39.0,1.05681105205364,1.33333333333333,2,13.333333333333302,8.549250196665529e-11,114,75,True
85,0.0,40.0,0.8210346822436949,0.0,1,0.0,6.0,160,0,False
86,6.0,41.0,0.230709955691476,1.5,2,7.0,8.776623872108759e-11,60,20,True
87,13.0,34.0,0.0,3.0,1,1.0,22.0,7,4,False
88,4.5,35.0,3.977357501874181,0.153846153846154,1,21.1538461538462,23.0,535,188,True
89,5.76923076923077,37.0,1.75165798080679,0.307692307692308,3,0.230769230769231,0.0002286232916088,168,151,True
90,6.75,38.0,1.75,1.0,2,4.25,0.0078109205933287,17,7,True
91,4.8125,43.0,2.67650659141608,0.25,2,14.375,8.84483597474173e-11,515,414,True
92,6.5,39.0,0.8865408928220899,1.5,2,0.0,0.0078109205969667,9,37,False
93,5.45,6.0,3.1914855925109302,0.2,1,22.05,3.0,242,146,True
94,7.0,7.0,0.0,3.0,1,4.0,4.0,0,2,False
95,6.2,43.0,1.71318485809093,0.4,3,6.5,0.0002286232916088,727,438,False
96,9.33333333333333,44.0,0.98801063631556,1.33333333333333,2,7.33333333333333,0.007810920600491,63,17,True
97,1.0,8.0,0.0,1.0,1,13.0,5.0,168,40,True
98,6.307692307692308,18.0,1.83960685174953,0.307692307692308,2,8.69230769230769,0.7480545043945309,319,36,True
99,14.666666666666698,52.0,0.533506541391856,1.33333333333333,2,8.0,0.0078109206006034,102,2,True
100,5.28571428571429,61.0,2.57746866544244,0.285714285714286,4,6.571428571428571,2.03525024367786e-05,1455,12,True
101,12.666666666666698,63.0,1.31664733333952,1.33333333333333,3,28.6666666666667,0.0002288323663734,31,1,False
102,12.25,64.0,0.8222180433061759,0.75,2,3.0,0.0078109206006038,181,5,False
103,13.666666666666698,65.0,1.45914791702724,1.0,2,7.66666666666667,0.0078109206006038,7,5,True
104,14.333333333333302,66.0,1.20980033866048,1.0,2,0.0,0.0078109206006038,15,10,True
105,15.333333333333302,67.0,1.47721700146248,1.0,2,0.0,0.0078109206006038,14,2,False
106,18.3333333333333,21.0,0.99359249745318,1.33333333333333,2,15.0,0.748060703277588,85,6,False
107,27.0,23.0,0.258018668664815,1.5,2,13.5,0.7480614185333249,36,33,False
108,26.5,25.0,0.468995593589281,1.5,2,0.0,0.74806159734726,20,0,False
109,21.0,28.0,0.4097802081493181,1.0,2,9.0,0.7480616495013241,76,1,False
110,18.0,29.0,1.63711554562917,0.666666666666667,2,14.166666666666698,0.748061653226614,225,88,True
111,30.5,32.0,0.468995593589281,1.5,2,4.5,0.7480616564862429,20,0,False
112,12.272727272727304,33.0,2.2183964866662595,0.454545454545455,3,30.1818181818182,0.388838095155948,389,155,True
113,27.3333333333333,34.0,1.49491884823395,1.33333333333333,2,36.6666666666667,0.748061656835489,9,2,False
114,38.5,35.0,0.779349837292085,2.0,2,0.0,0.7480616568936971,8,5,False
115,34.5,36.0,0.779349837292085,1.5,2,48.0,0.7480616569228001,12,1,True
116,17.0,76.0,1.27900036922196,0.6,2,20.2,0.0078109206006038,101,3,False
117,15.8,77.0,1.19408268861589,0.6,2,32.8,0.0078109206006038,130,5,True
118,28.6666666666667,40.0,0.9576217384493928,1.33333333333333,2,44.6666666666667,0.748061656950085,151,117,True
119,32.6666666666667,41.0,1.40410745138709,1.6666666666666698,2,7.33333333333333,0.748061656950995,24,1,True
120,9.44,44.0,3.06490690036086,0.2,2,74.4,0.7480616569517909,695,393,True
121,21.25,46.0,1.22866806358482,0.75,2,17.0,0.7480616569518471,92,8,True
122,18.5714285714286,47.0,1.63104621062235,0.5714285714285711,3,24.285714285714302,0.388838095155948,155,98,False
123,41.5,48.0,0.7553754125614291,1.5,2,59.5,0.748061656951869,22,1,False
124,11.625,50.0,2.09803375927719,0.5,3,39.75,0.388888908152101,308,16,True
125,4.585365853658541,78.0,5.3975361829742,0.0487804878048781,2,72.6341463414634,0.0078109206006038,991,2398,True
126,11.0714285714286,38.5,3.956413198497181,0.178571428571429,2,52.96428571428571,8.861889000399971e-11,231,212,True
127,29.3333333333333,52.0,1.19690261225867,1.0,2,53.3333333333333,0.748061656951875,57,11,False
128,18.4166666666667,40.5,1.63176219592391,0.4166666666666671,3,18.6666666666667,5.0064398586150105e-17,789,709,True
129,26.8333333333333,41.5,0.63920807843036,0.833333333333333,3,8.0,5.00644361959505e-17,500,457,True
130,25.2,55.0,1.19265868743789,0.8,2,8.2,0.748061656951876,230,19,True
131,55.5,56.0,0.8631205685666309,2.0,2,0.5,0.748061656951876,6,1,False
132,2.425,58.0,4.74836113425247,0.075,2,4.6,0.748061656951876,7087,4,True
133,26.6666666666667,59.0,2.17235760477816,0.833333333333333,2,16.0,0.748061656951876,306,29,True
134,8.70588235294118,80.0,3.09045100337822,0.294117647058824,3,2.7058823529411806,0.0002288326547443,1635,7,True
135,22.6,81.0,1.7364416173910502,0.6,2,37.2,0.0078109206006038,179,15,True
136,9.3,60.0,1.78078439816396,0.2,2,13.45,0.748061656951876,800,562,True
137,10.1,61.0,3.3875771866320896,0.2,2,11.4,0.748061656951876,1450,190,True
138,60.0,64.0,0.5435644431995961,2.0,2,0.0,0.748061656951876,13,3,False
139,37.0,65.0,0.623034204300968,1.0,2,58.0,0.748061656951876,182,128,False
140,19.5555555555556,67.0,2.54550784279422,0.444444444444444,2,2.1111111111111103,0.748061656951876,105,39,True
141,13.2105263157895,69.0,3.3975270474369,0.2105263157894739,2,38.0526315789474,0.748061656951876,243,122,True
142,58.0,70.0,0.985228136034252,1.5,2,12.0,0.748061656951876,6,1,False
143,29.6,71.0,1.92829428147455,0.8,2,31.2,0.748061656951876,32,11,False
144,58.0,74.0,0.226410948421076,1.5,2,18.0,0.748061656951876,34,48,False
145,63.0,86.0,0.940285958670631,1.5,2,3.5,0.0078109206006038,25,17,False
146,66.0,76.0,0.994030211476956,1.5,2,9.0,0.748061656951876,4,7,False
147,39.0,81.0,0.838047640532869,0.75,2,66.5,0.748061656951876,23,22,False
148,8.41176470588235,83.0,3.2953141600176696,0.1764705882352939,2,54.1176470588235,0.748061656951876,579,348,False
149,66.0,84.0,0.6098403047164,1.5,2,20.5,0.748061656951876,16,4,False
150,45.0,86.0,1.41802600556081,1.0,2,1.0,0.748061656951876,16,5,False
151,39.5,87.0,1.47915930866466,1.0,2,31.75,0.748061656951876,27,16,False
152,45.6666666666667,89.0,0.411110798751392,1.0,2,23.6666666666667,0.748061656951876,89,2,False
153,50.3333333333333,90.0,0.410900706259197,1.0,2,29.0,0.748061656951876,38,67,True
154,36.3333333333333,92.0,2.07266255120384,0.833333333333333,2,26.6666666666667,0.748061656951876,114,108,True
155,0.0,90.0,0.0,0.0,1,0.0,74.0,103,0,True
156,14.823529411764698,95.0,2.22342079580685,0.235294117647059,2,80.2941176470588,0.748061656951876,541,330,True
157,12.642857142857098,91.0,3.37669068277538,0.285714285714286,3,30.785714285714302,0.0002288326547443,217,67,True
158,35.6666666666667,96.0,2.1837788869232697,0.833333333333333,4,48.1666666666667,0.33333428714324,21,19,True
159,22.0,97.0,2.16193464763778,0.4285714285714289,2,21.71428571428569,0.748061656951876,186,94,False
160,5.72222222222222,93.0,4.04717067826298,0.138888888888889,3,17.3055555555556,0.0002288326547443,4701,10,True
161,13.387096774193498,99.0,3.09009814033912,0.129032258064516,3,66.258064516129,0.388838095155948,1502,636,True
162,52.0,95.0,1.48365916439796,1.0,2,11.0,0.0078109206006038,15,2,False
163,61.6666666666667,101.0,1.18203209429095,1.0,2,16.0,0.748061656951876,26,7,False
164,10.823529411764698,8.0,3.02944396632154,0.1764705882352939,2,24.9411764705882,0.123046875,1009,448,False
165,23.11111111111111,104.0,1.03080212815577,0.555555555555556,3,16.7777777777778,0.388888908152101,542,157,True
166,3.56818181818182,106.0,5.06555848041813,0.0909090909090909,2,0.0,0.748061656951876,4712,0,True
167,28.5,107.0,1.9307591054571296,0.666666666666667,2,27.0,0.748061656951876,17,18,False
168,29.8333333333333,8.5,2.17303389202017,0.666666666666667,2,5.83333333333333,0.125,17,16,False
169,34.3333333333333,111.0,1.30305100683999,0.666666666666667,2,31.3333333333333,0.748061656951876,244,10,True
170,86.5,35.0,0.91829583405449,2.0,2,6.0,8.867395706602109e-11,3,0,False
171,61.3333333333333,36.0,1.05774223812706,1.6666666666666698,2,4.0,8.867484524444079e-11,22,4,True
172,22.875,39.0,2.94804112059052,0.25,2,81.625,8.867534484480191e-11,127,46,True
173,20.466666666666697,41.0,2.7213341825592,0.266666666666667,2,19.533333333333303,8.867542811152868e-11,128,66,True
174,88.5,99.0,0.216396932451265,2.0,2,17.0,0.0078109206006038,44,14,False
175,94.0,42.0,0.91829583405449,2.0,2,14.0,8.867544198931649e-11,4,2,False
176,13.25,114.0,2.11142266505255,0.25,2,32.75,0.748061656951876,1826,168,False
177,47.75,44.0,1.60402462017591,1.0,2,33.5,8.867545239765741e-11,26,1,False
178,16.44,45.0,3.67776093813633,0.16,2,58.4,8.867545413238091e-11,463,341,False
179,10.5833333333333,46.0,3.66176545208304,0.166666666666667,1,0.0,25.0,341,461,False
180,43.8,46.0,1.57311588796465,0.8,2,25.8,8.8675455216583e-11,67,36,False
181,28.0909090909091,46.0,2.29532208819501,0.454545454545455,2,12.9090909090909,8.867545543342349e-11,110,31,True
182,11.0,48.0,0.134029796168036,1.5,1,64.5,28.0,72,35,True
183,52.5,49.0,1.47300857589144,1.0,2,42.0,8.867545558250129e-11,137,5,True
184,0.0,50.0,1.04182151390293,0.0,1,0.0,30.0,659,0,True
185,30.5454545454545,119.0,2.50032053327114,0.363636363636364,3,34.7272727272727,0.388838095155948,911,549,True
186,25.21428571428569,120.0,3.44947693499057,0.285714285714286,2,38.1428571428571,0.748061656951876,131,78,False
187,108.0,122.0,0.970950594454669,2.0,2,0.0,0.748061656951876,4,1,False
188,99.0,123.0,0.7219280948873621,2.0,2,119.5,0.748061656951876,3,2,False
189,43.5,124.0,1.25791649129564,0.833333333333333,2,3.5,0.748061656951876,153,4,False
190,16.052631578947402,125.0,4.12930556600306,0.1052631578947369,2,27.868421052631607,0.748061656951876,534,387,True
191,105.0,52.0,0.91829583405449,2.0,2,0.0,8.8675455601136e-11,5,1,False
192,107.5,53.0,0.371232326640876,2.0,2,0.0,8.867545560283008e-11,21,7,False
193,47.2,127.0,0.9315142267481972,0.8,2,91.2,0.748061656951876,7,77,False
194,12.952380952381,54.0,3.1689672547674603,0.19047619047619,2,29.2380952380952,8.867545560367709e-11,1787,722,True
195,24.095238095238106,130.0,3.0229102964818706,0.238095238095238,3,11.047619047619,0.388838095155948,1757,1008,True
196,79.3333333333333,132.0,1.16816091980765,1.33333333333333,2,0.666666666666667,0.748061656951876,36,6,False
197,23.9375,134.5,3.50913925724675,0.25,2,95.5,0.748061656951876,210,20,True
198,62.25,135.5,1.95914791702724,1.25,2,2.25,0.748061656951876,9,3,False
199,67.25,137.5,1.09431012811469,1.0,2,2.75,0.748061656951876,42,3,True
200,52.0,138.5,0.918133675834694,0.8,2,7.6,0.748061656951876,242,23,True
201,111.0,92.0,0.3912435636292561,2.0,2,2.0,0.0078109206006038,7,6,False
202,11.093023255814,138.5,4.852674080152863,0.0930232558139535,2,105.744186046512,0.748061656951876,560,365,True
203,115.5,143.0,1.0,2.5,2,19.5,0.748061656951876,3,1,False
204,58.0,94.5,1.40123437929622,1.25,2,51.5,0.0078109206006038,14,7,False
205,123.5,95.0,0.322756958897398,2.5,2,21.0,0.0078109206006038,25,26,True
206,81.6666666666667,144.5,1.03172907641683,1.6666666666666698,2,12.333333333333302,0.748061656951876,295,93,True
207,84.0,146.5,0.6868472757845839,1.6666666666666698,2,11.333333333333302,0.748061656951876,224,8,True
208,127.5,97.5,0.7642045065086199,2.5,2,2.0,0.0078109206006038,6,3,False
209,42.1111111111111,148.5,2.51922596188425,0.555555555555556,2,37.1111111111111,0.748061656951876,81,23,False
210,134.0,98.5,0.4178642624458579,2.5,2,21.5,0.0078109206006038,58,13,False
211,69.75,149.5,1.08039996968552,1.25,2,23.25,0.748061656951876,109,28,True
212,86.6666666666667,99.0,1.26032352507905,1.6666666666666698,2,58.6666666666667,0.0078109206006038,65,4,False
213,87.6666666666667,100.0,1.26032352507905,1.6666666666666698,2,0.0,0.0078109206006038,4,65,False
214,17.7,151.5,2.6377983204601803,0.166666666666667,3,34.5333333333333,0.388838095155948,1216,592,True
215,38.5555555555556,150.0,2.31008996792458,0.555555555555556,2,34.8888888888889,0.748061656951876,317,35,True
216,130.0,101.0,0.845350936622437,2.5,2,2.0,0.0078109206006038,7,4,False
217,15.7741935483871,100.5,3.940084232079992,0.193548387096774,3,106.645161290323,0.0002288326547443,1016,513,True
218,139.5,156.0,0.167026804045228,2.5,2,41.5,0.748061656951876,52,29,True
219,22.03846153846149,159.0,3.53509111471842,0.230769230769231,2,140.538461538462,0.748061656951876,929,79,True
220,16.6,50.0,2.1583916430904497,0.266666666666667,1,89.9333333333333,36.0,584,274,True
221,9.75,51.0,0.98754640870078,1.0,1,154.0,37.0,56,32,True
222,109.333333333333,7.5,1.50524081494415,2.0,2,3.6666666666666696,0.12646484375,15,1,False
223,1.0,51.6666666666667,0.0,1.0,1,53.0,38.0,53,17,False
224,12.2,52.5,2.98695657654413,0.4,1,12.2,39.0,635,122,True
225,24.0,53.5,0.970950594454669,2.5,1,8.5,40.0,18,2,False
226,12.3181818181818,160.0,3.60298131650791,0.227272727272727,2,11.4545454545455,0.748061656951876,4468,1,True
227,83.75,161.0,0.707540088059539,1.25,2,41.0,0.748061656951876,404,315,True
228,98.3333333333333,55.3333333333333,0.6395563653739029,1.6666666666666698,2,41.6666666666667,8.867545560441659e-11,71,4,True
229,135.5,57.3333333333333,0.881290899230693,2.5,2,0.0,8.867545560441871e-11,10,0,False
230,149.5,58.3333333333333,0.91829583405449,2.5,2,9.5,8.86754556044191e-11,5,4,False
231,59.8333333333333,157.0,1.5616014775747702,0.833333333333333,2,5.5,0.748061656951876,261,9,False
232,153.0,157.5,0.3776463213736999,2.5,2,4.0,0.748061656951876,37,4,True
233,140.5,8.5,0.970950594454669,2.5,2,7.0,0.126708984375,4,1,False
